age,education_years,gender,union_membership,job_training,job_satisfaction,annual_income
34,11,0,0,1,62.630745716416776,230.6298181335775
31,27,0,0,1,80.95270677796492,283.1970830119791
33,24,0,1,1,81.53426073874141,282.04332789867414
27,21,1,0,1,69.29901880924099,250.75376064500892
38,23,1,1,1,86.54358357940832,298.8945618367775
32,20,0,0,1,72.71588571452361,258.75703269744207
25,16,0,0,1,57.22846154579366,214.54353839598824
18,16,1,0,1,49.59190312935412,192.29999946484944
24,21,1,0,1,64.71002576272043,234.23301040613973
42,17,0,1,1,82.34192359203358,289.66605203362707
23,23,0,1,1,64.72601488895945,236.56977608344877
29,23,0,1,1,74.24421633037919,261.6816188052179
43,25,0,0,1,92.0762382861523,317.44333255320885
22,23,0,1,1,63.38394076838143,232.46553010878984
26,10,1,1,1,52.67626228872131,197.5276928767106
23,26,1,0,1,71.61490341747951,252.0967575952592
37,24,0,0,1,83.1738618632044,292.3097298838759
26,23,0,0,1,68.53123654022374,248.27124692213124
32,22,0,0,1,75.75506866671195,264.6101053573746
19,13,1,0,1,48.121391399312365,185.49506921179184
36,20,1,1,1,79.69921144609302,278.9467628182438
41,28,0,0,1,95.35029560416764,323.5520745721335
31,17,0,0,1,68.43252630985414,245.61266355390396
38,13,0,1,1,70.2662941627797,253.8950333994848
39,13,1,1,1,74.6599325071274,267.4801934754499
36,28,1,0,1,91.15916358322076,310.50400291119024
34,32,0,0,1,91.48172901632964,313.1650850336447
30,20,1,1,1,71.7187912362922,256.0652172782785
39,19,0,1,1,79.85691046962069,281.9755834037052
29,23,1,0,1,75.40548331323222,266.30895480859937
25,24,0,1,1,70.71022108778409,250.7156354949788
25,24,1,0,1,70.6835693827367,251.31091322757405
27,18,1,0,1,64.49634700096722,238.0241339578849
29,20,0,1,1,69.48105399558207,247.31852947481224
33,33,1,1,1,95.39983983982576,322.311323722778
32,24,0,1,1,79.15072845068973,276.57594236962376
38,23,1,0,1,84.2627055798009,296.8673341291953
32,16,0,0,1,65.06129897191269,239.3771832371035
16,17,1,0,1,46.22475833354458,183.96347844501392
41,10,1,0,1,69.34917520242877,253.4739499192952
28,30,1,0,1,83.09171187151539,287.2440177022221
26,29,1,0,1,78.25677324379076,274.1094924974923
13,26,1,0,1,55.4796445356054,209.88229602467655
44,17,1,1,1,84.00440777479614,295.4528528913018
40,32,0,1,1,99.53531831795873,338.2432191615611
34,22,1,0,1,78.48918730958728,276.6321616758163
24,11,0,0,1,50.31808627823123,194.6948327052184
26,25,0,1,1,72.45974864338339,257.9233883776275
26,28,1,0,1,76.05410965173344,265.2006493969707
26,11,0,1,1,52.356228646148594,201.23853647308232
35,12,1,1,1,65.98710736290758,241.40689449702631
27,26,1,0,1,74.12686610156501,261.06475919221174
33,16,0,1,1,69.60660371448807,249.40184338891805
36,16,0,0,1,70.99363315085562,254.0190515853287
28,23,0,0,1,72.11113995145712,255.30347341994693
39,6,0,1,1,63.23320484693012,230.74181641246133
33,19,0,0,1,72.1219655174525,256.2087312043922
29,13,1,0,1,58.79238585246888,220.1552788881781
32,22,0,0,1,76.7041453018638,270.9828329903781
28,19,1,0,1,66.94938265931322,242.2819207233484
32,25,0,1,1,80.08719362356759,281.8714981495214
25,33,1,1,1,84.48800454231478,289.7419138252067
20,23,1,0,1,62.8003883743051,227.84958047016823
21,13,1,0,1,45.44358435933628,182.79032465506108
30,16,0,1,1,65.71980201830944,238.1032995726964
31,20,1,1,1,73.36090724485598,259.6380842277616
41,15,0,1,1,78.93681752477764,278.2479370768395
28,22,0,0,1,70.97276441852264,251.0022064995686
26,26,0,1,1,75.39801426482856,264.2435430748414
40,25,0,1,1,90.37238349820018,310.0958580465653
28,22,0,0,1,70.38639550514618,250.6747969320089
33,22,0,1,1,77.77300413611363,272.7642693782622
41,21,0,1,1,85.71373539103216,300.42017868268323
36,12,1,1,1,70.49828569926837,252.18964902217067
32,34,1,1,1,93.87388663391344,319.012350057603
46,33,0,0,1,111.80432410143408,368.8213990390837
35,31,0,0,1,90.89585498706302,313.106660360522
32,22,0,1,1,76.52283198975594,270.1907565046908
19,7,0,1,1,35.26592348990034,153.42983998599166
22,26,0,1,1,68.64682833213847,247.573434879206
31,20,1,1,1,72.24060703900768,258.19362198553216
20,12,1,1,1,48.51587101201639,189.29469281146763
48,23,1,0,1,98.6474449674794,335.562040215517
18,22,1,0,1,57.724217069300586,212.51359209478903
19,22,0,0,1,58.48344034261805,214.86666060371877
30,10,0,1,1,56.90186308466225,215.74755730653516
13,9,0,0,1,33.44161929514005,143.69960652713115
28,15,1,0,1,60.55914465068229,225.60805919927947
26,22,1,1,1,68.80379916643221,247.0078323876195
13,13,0,0,1,37.55860676057702,156.8169672810657
21,21,1,0,1,60.712531458047614,222.95068661036075
26,23,1,1,1,71.40886085254215,252.76997432000655
32,16,0,1,1,66.35090147807406,243.37061861263348
22,22,0,1,1,63.34301145923574,230.8479712749233
13,23,1,1,1,54.87200198854831,203.9472480330562
15,23,1,0,1,53.71584052139183,202.13834648417972
40,18,1,1,1,82.15845980257251,286.9696968037643
20,16,1,0,1,51.10812301474095,193.8821045214817
36,15,1,0,1,72.97854148873024,262.59586948206027
35,18,0,0,1,74.39738568155684,263.98361345033953
38,21,1,0,1,83.80938252548862,293.1062554490418
25,30,1,1,1,79.85808909280591,277.9705518109648
34,19,1,1,1,77.0323026308783,269.96580702493304
34,17,1,0,1,73.53301577583099,261.64884804255263
23,19,1,1,1,60.05168218528736,223.4059812841487
24,23,1,1,1,67.98365218272694,245.35047874153057
17,16,0,1,1,47.27239851933543,183.77527904964785
31,15,1,1,1,66.623301757037,243.64511423465723
27,24,1,0,1,71.96421868207864,256.1540851614035
27,27,0,0,1,73.88082940556814,262.4752903711695
31,33,1,0,1,91.1106298893582,309.3837349635712
33,13,0,0,1,64.39784712644676,235.8438628415035
29,31,1,1,1,86.96184349851063,297.5565290007504
34,29,1,1,1,89.83350002550544,306.4067273309676
38,12,1,0,1,68.9685458972388,251.3874924579495
26,29,1,1,1,80.04613923433811,276.3527126025884
32,9,0,0,1,57.02826244038232,216.1922683100645
23,24,1,1,1,67.81856765360227,245.24126934651088
28,16,1,1,1,61.9090778220224,229.93351648228256
29,24,1,0,1,75.00555293576531,263.2523263046232
41,24,1,0,1,91.8582121583839,315.4499460922244
21,24,1,1,1,64.32363152707563,235.3042553887822
28,14,0,0,1,57.3374186744693,215.65090785043927
24,18,1,0,1,60.26700328546552,223.86169975776968
37,24,0,0,1,84.93457914388176,295.8356166614715
48,19,0,0,1,91.99690860769718,316.8442642606019
40,18,0,0,1,80.23952823209834,280.7646601923129
27,17,0,1,1,61.62146161832815,227.96202838285777
31,24,0,0,1,75.68092767676252,267.46894039118285
27,14,1,0,1,57.93241025002288,216.39683951222847
29,27,0,1,1,78.55584650017175,275.27019127291646
30,19,1,0,1,69.11287627367867,248.69736994520247
34,25,1,0,1,83.4072893459305,289.8479520713826
36,12,0,1,1,67.07410464812553,246.1935635392499
25,17,0,1,1,59.98230382266531,221.61436050645423
21,26,1,1,1,67.70206331184367,244.3833971419529
32,23,0,0,1,77.93522694624542,272.5107720454391
32,22,0,1,1,74.86964543190398,267.1345268617184
14,17,0,0,1,44.37782158511233,176.19981510092617
29,16,0,0,1,61.83207456604332,229.00759369085745
32,18,0,1,1,69.99246310461216,251.8343521406235
30,25,0,1,1,76.80852231535599,273.7046127812298
39,30,0,0,1,96.74377025406883,325.64345243734385
32,17,1,0,1,69.26242823917715,251.9183670361024
30,20,1,1,1,71.94026806519993,257.07465726555233
46,24,0,0,1,97.37722197210466,331.5561595487312
15,24,0,0,1,57.2170583216962,213.41435316259285
26,15,1,1,1,59.86864747907054,224.3625852132761
36,21,0,0,1,77.7324158640301,276.5677668909269
26,21,0,0,1,67.26882946517567,242.54445786572307
24,17,0,1,1,59.90699151844471,218.6954413932976
25,12,0,0,1,52.54606138498818,200.47041245671767
28,16,0,0,1,62.604925219989696,231.6662555156656
36,24,1,0,1,82.54053287272015,288.69241526526565
42,8,1,1,1,71.62198205369096,254.6063950515208
15,6,0,0,1,29.695272963137786,136.4002474909202
31,39,0,1,1,99.27409645951776,332.31511245752165
36,17,1,0,1,73.75568018824676,262.9144130262663
22,18,0,1,1,56.298088893378505,212.7580004607266
15,16,1,1,1,45.00062370217825,181.0234432097216
38,16,1,0,1,76.93949292079056,273.79802308454776
16,23,1,1,1,58.57520271327587,217.5893874501585
27,11,1,0,1,54.5927668404779,209.6288253344825
21,18,0,1,1,58.25641886807508,212.57373784549185
27,16,0,0,1,59.46539260916245,223.05538767610284
30,28,1,0,1,83.52132895879481,286.3286555544104
42,18,0,0,1,81.71326776708042,288.8824791161149
26,14,0,1,1,57.09312511487043,214.0438624859828
23,14,0,1,1,52.7463937176637,200.5472748198505
35,24,0,1,1,81.83571909735106,285.22708704194025
31,18,0,1,1,68.39525929848449,248.4948418170705
37,16,1,0,1,75.01364735238361,264.38542519470025
28,16,0,0,1,63.43141043639089,231.57222632033063
20,19,0,0,1,54.28917813032606,205.96235034646665
39,14,0,1,1,74.73751172590109,266.15699303656373
36,14,1,0,1,69.18856241759742,252.15853548369088
42,11,1,1,1,72.0365826732269,266.32104617731216
29,16,0,0,1,63.4915638833853,231.71650884563047
20,20,1,1,1,58.07151829474133,217.5689894436043
26,18,1,1,1,62.65764242394293,233.20658372158556
21,13,0,1,1,47.44575867419717,185.15387796365425
38,18,0,1,1,77.68030848605636,276.1171044305657
16,22,0,0,1,53.93730896375586,202.4234894586928
41,17,0,0,1,79.33984206508478,282.8243430854875
30,22,0,1,1,72.18119155703906,261.3603886454292
29,18,0,0,1,65.09551390052972,236.7156499321648
38,24,1,0,1,85.87936285294025,297.550259718962
28,10,0,0,1,53.12917984165796,203.63430192172223
38,14,0,0,1,71.00686515094311,257.4945979500558
31,19,1,0,1,72.46349487097484,256.7293059008348
30,21,0,0,1,72.06288187074493,256.7663435118632
33,20,1,1,1,76.66341654624868,271.4345322427954
41,23,0,1,1,89.62659103886305,307.0026014808477
38,35,1,1,1,104.05998324491722,348.79549694647665
27,25,1,1,1,74.77833347853264,264.49152612629194
22,21,0,0,1,60.90899955816734,222.2010143192677
27,26,0,0,1,71.98059036489614,259.3611555985969
25,14,0,0,1,55.3196768602033,207.9374912583562
31,10,1,1,1,59.612478874767085,223.93276333242136
32,23,1,0,1,77.4861514007513,274.9908830159138
36,29,1,1,1,91.50483713567937,311.7604170867435
30,31,1,1,1,88.36338973619739,300.541111157914
19,17,0,1,1,50.92576102242193,198.28116289716155
36,27,1,1,1,89.48872371427679,309.59596856555294
39,16,0,0,1,77.97346998952423,272.8505713546455
38,29,1,1,1,94.25650815707354,322.07591397475244
16,22,0,1,1,52.85314599217,200.0366051553633
24,20,1,0,1,63.966108753456375,233.19814350173232
33,11,0,1,1,61.55638626777736,228.6892605737457
25,9,0,0,1,45.56074334009728,182.25128313038007
28,19,0,1,1,66.90650164385558,240.8950747158795
20,17,0,1,1,53.33293691755352,203.0022210625484
35,12,1,0,1,66.8737799430851,244.5550603297831
40,16,0,1,1,79.09921913641172,281.75695912827035
31,35,1,1,1,93.85673531807711,316.0308108033798
29,26,0,0,1,77.06483218148192,270.96228391284995
42,25,0,0,1,92.14295760587989,317.0145611039555
22,13,1,1,1,52.54207110747163,197.6722843390189
18,19,0,1,1,50.78743727807897,195.02038570564417
21,18,1,0,1,57.799068549379655,213.49131589541145
42,27,1,1,1,98.13217635699463,331.5539850807779
28,22,0,0,1,71.81592482734214,252.7179263915861
17,14,1,1,1,47.201523579435126,184.32479138490936
18,13,0,1,1,45.17324799020835,181.4593888752634
19,13,0,0,1,44.77891235716374,180.7553600244829
24,25,0,1,1,70.50617718346471,249.86891223694803
30,10,0,0,1,55.588970349167255,208.61644911087205
33,23,1,0,1,80.07956257908695,279.82561173331595
27,19,0,0,1,63.47656154355678,229.60551832098847
43,14,0,1,1,78.70093338567611,279.141965565066
19,18,1,0,1,55.98546820362111,207.04646181178487
40,30,0,0,1,97.60761310983465,332.6894861100649
40,26,0,0,1,91.96759653751238,313.05042547237747
19,16,0,0,1,48.75273015689427,189.4465608707908
44,14,1,1,1,81.6144966139994,288.77129775453494
35,22,0,0,1,79.56312904699814,276.84580929276143
32,15,0,0,1,65.4949172461692,243.1836280351524
23,15,1,0,1,55.56948376402039,206.63875993605615
37,19,1,1,1,79.55928348182552,277.4555985885668
31,8,0,0,1,55.72278105112634,210.75002089260872
17,16,0,1,1,47.77069094201985,184.37577969408704
20,25,0,0,1,61.117928405569984,226.4650723639536
34,24,1,1,1,83.98176032456112,288.4599766217107
51,38,0,0,1,123.62799873003031,408.5945667908785
29,28,0,1,1,80.18198166959951,281.0204994950945
27,23,0,0,1,70.96272445106784,252.49704944447035
38,25,0,0,1,86.70413466842689,300.76398765417406
39,24,0,1,1,86.64801305701948,302.0036040717119
29,15,0,0,1,61.988157286642064,227.0830255825657
34,13,1,0,1,67.24532406926775,246.47964735117668
35,27,1,1,1,88.70383446349081,304.6796952086986
24,15,0,1,1,54.3136109399013,206.43789902604445
31,28,0,0,1,83.34251205969085,287.7136855625365
38,2,1,1,1,56.61343882388873,215.8705901669417
42,23,1,1,1,92.9302839052231,316.98763908037216
33,6,1,0,1,54.26518771400041,210.13688143417423
18,11,1,1,1,41.50149969637733,171.69301914867313
40,20,1,1,1,83.13403740278102,293.69360693288075
42,20,1,0,1,85.96751020522592,299.391900892773
45,23,0,0,1,94.7252220440622,322.0520480932267
34,12,0,1,1,64.90908012065691,239.199516511913
28,22,1,0,1,72.51829490514882,258.18552621439244
14,22,0,1,1,50.88741124402574,195.1387897326377
33,18,0,1,1,72.68578618691045,261.04231319927044
45,17,0,1,1,87.42225979418998,303.2951653338025
32,14,1,0,1,66.04356141415835,241.1339022909696
26,13,0,1,1,54.4788330337352,207.6431059457998
26,18,1,1,1,63.72999829161589,234.5829979507341
26,20,1,1,1,65.99348750142028,237.4149827724628
28,17,1,1,1,62.96966028664077,233.2672109566886
30,20,0,1,1,70.33207553241874,252.18871946306623
33,23,0,0,1,78.6173309672416,274.8979875548601
25,8,1,1,1,48.347004624284,191.94052447795656
32,14,1,1,1,65.45884255502772,239.23696668527165
28,19,1,1,1,67.91324381285852,243.1266376115384
21,34,0,1,1,79.29642273829997,276.73531716282145
37,20,1,0,1,81.38864832683497,285.59015240891694
25,23,1,0,1,65.93566983558749,239.1081255531913
33,26,1,0,1,81.30773696070808,285.755388491975
16,20,0,0,1,50.516426663274494,190.62076180864264
34,27,0,1,1,86.11561195028253,294.8416717267054
28,16,1,0,1,62.66492861436952,230.1026076253689
33,23,1,1,1,79.11033458892025,277.0513125135962
32,22,0,0,1,75.78016121480071,267.0486999599239
26,5,1,1,1,45.33859782256755,183.06346843318505
41,17,1,1,1,82.6652603038966,288.6263922092995
14,7,0,0,1,32.10906198636577,140.81599170036344
15,5,0,1,1,31.233224152699428,138.48906255388349
21,21,1,1,1,61.21049529789895,223.9435332253056
35,11,0,1,1,63.27257552590838,238.06769348726095
34,25,1,1,1,84.9367845468082,295.2284766828042
33,25,0,0,1,81.80918661287012,284.71458185446124
37,19,0,0,1,79.34807288519532,278.8698601675752
20,17,1,0,1,54.453019512987545,204.7771522701337
33,14,1,1,1,66.36853685729112,244.2908671742028
29,19,0,1,1,66.46301520953892,242.76092712685875
31,15,1,0,1,66.75603817734633,240.4050128584976
26,10,1,1,1,53.24182244194806,202.81765246400929
37,14,0,1,1,71.1916187300405,254.6628667241449
31,19,1,0,1,70.21429692148537,252.7030343872923
36,13,1,1,1,69.68189988136653,253.14006884574545
18,23,1,1,1,60.74925284115616,223.01316551850687
39,27,0,0,1,92.73450766548756,315.0663946219894
32,17,1,1,1,69.49155558736895,253.568951291342
34,10,1,1,1,62.39566165405644,231.6950423993197
33,18,1,1,1,74.64638189507889,262.1529302281459
10,20,1,1,1,44.37483877304722,176.92638559951467
32,10,1,0,1,60.77172659315212,225.91888830935304
37,13,0,1,1,70.87516830593293,254.21437856598595
22,18,1,0,1,55.7808887234405,211.70216657477388
16,19,1,1,1,51.06725710219657,197.20089948072672
44,20,1,0,1,88.36241292366583,308.1498451872217
46,27,1,0,1,102.94127602098756,347.9307565701687
24,19,1,1,1,64.25970762112391,233.9003654693326
33,10,0,0,1,60.11497306129789,223.66375412793556
18,26,0,0,1,62.447412895644575,225.37193058074823
36,14,0,0,1,67.79451395880724,246.93049271746537
25,25,0,0,1,70.74373797573136,251.89467820739927
19,19,1,0,1,56.84887422164135,210.43069565813303
23,28,1,1,1,74.81403154902522,260.97054738299954
34,7,0,0,1,58.84669495018015,218.9400592155569
39,11,0,1,1,71.3962581119078,254.3099005324519
43,23,0,0,1,91.21398036104786,314.8571814463794
15,17,0,1,1,45.97296166886481,180.56392982713425
26,28,0,1,1,76.45838583000474,268.8254901442444
27,23,0,1,1,70.16251702087408,251.94803753881035
14,14,1,0,1,43.18098112962914,172.65512031742472
32,27,0,0,1,82.75799196285108,287.4990455976835
27,23,1,1,1,70.12084462278307,252.45025226540588
35,9,0,0,1,59.589670383380906,224.116147824109
25,23,1,1,1,69.71300041419109,250.29282473110283
18,19,1,0,1,53.45911673774095,202.9110242021544
28,21,1,0,1,69.54790083670218,249.38324806087763
37,26,0,0,1,88.68888191340996,302.45602675822715
15,18,0,1,1,46.5445458823278,183.68568771209465
22,21,1,0,1,61.30094133919657,223.9592850915108
38,16,0,1,1,75.1961715342799,266.79429359263105
29,17,1,1,1,65.0493041956114,238.1852804069518
22,24,0,0,1,62.909697152481634,229.7604191140477
41,15,0,0,1,77.45953557594578,274.6398068117927
46,22,1,0,1,93.62045179815507,321.2506803493141
22,18,1,1,1,59.02020170510196,217.63327089590652
16,21,0,0,1,53.72503931451344,200.33879715500927
32,13,0,1,1,61.54470094472626,231.93473244895563
36,21,1,1,1,80.23214652863967,283.75841728687254
26,32,1,0,1,82.04810942963465,284.5153625967935
27,15,1,1,1,60.29538403174161,223.8501023094072
36,23,1,1,1,83.48359494166921,290.95932639701505
20,26,1,1,1,66.37242613942722,236.93364270417675
31,19,1,0,1,70.9936468014124,254.76129200417037
26,23,1,0,1,69.01660508217282,247.42577219588847
21,28,0,1,1,69.86806283403912,248.15390894924656
16,19,0,0,1,50.43463917506664,190.89764555076937
27,16,0,1,1,60.03436961114259,223.99401641428176
27,32,0,0,1,82.66018876270348,283.3368528492401
37,22,0,0,1,82.52891453212612,285.3229217651755
18,18,1,1,1,52.07395255195387,199.00675971593208
25,10,1,0,1,49.50734787549232,193.43744701549969
37,27,1,1,1,91.7840106736153,313.05520001525025
26,13,1,1,1,57.04369687632661,216.47977131302343
28,15,1,0,1,62.22879059742141,229.7174732768374
42,13,1,1,1,77.43039513587769,276.0412327557597
20,18,0,1,1,56.86292211798497,210.87801764996257
33,14,0,0,1,63.78441397880028,236.9086691118375
25,20,1,1,1,63.84916156154875,235.60181178075615
36,18,0,0,1,74.64775494965966,263.718468307918
32,21,0,1,1,75.96387174464658,268.4545623318148
20,20,1,1,1,57.65891567160275,216.23767025380775
25,15,1,0,1,57.907341467236485,214.5785570633704
22,20,1,1,1,60.31070626238123,221.12912909280936
39,19,0,0,1,80.15817844644711,280.120027221782
32,4,1,0,1,51.64379794458958,200.0875788221355
41,21,0,1,1,85.69584223424947,298.3695623870848
24,30,1,1,1,78.75737001310426,272.1511504638869
33,21,1,1,1,76.43466792030607,269.7761760170023
22,20,1,1,1,59.814771742776486,221.63357265494815
28,19,0,1,1,66.71321431091637,240.6353225170109
32,10,1,1,1,60.79799013145064,225.5384523793122
31,23,0,0,1,75.29502912263492,262.20977557112235
34,12,1,1,1,66.82291121744449,243.7684796996385
33,16,0,0,1,67.66682103298355,245.66880513552704
29,14,1,0,1,59.996635767630096,224.98079201681963
36,26,0,1,1,85.84683892723643,295.7778683738357
25,13,0,0,1,51.774366296800274,201.0590446213316
42,24,1,0,1,91.46909113212736,314.5566257934649
25,25,1,1,1,72.87084815792295,257.9519935574544
33,27,0,1,1,84.53739175625049,294.09943614465004
34,19,0,1,1,75.53811677317682,267.127062816932
16,14,0,1,1,42.59400516558237,173.54372931524264
26,12,1,1,1,56.52384111833528,211.75836438040372
27,16,1,0,1,60.164705458437965,225.7350090753366
19,27,1,1,1,67.33776738096583,240.79481100944724
24,16,1,0,1,58.17660461189513,215.29305807415085
26,26,1,0,1,74.17262845901949,260.19494855026727
30,13,0,0,1,58.17892547303095,220.1569505639247
34,21,1,0,1,77.2928398807094,271.7819276992132
40,15,1,1,1,78.1465737848021,275.8408330077305
29,11,1,0,1,55.82780394621548,215.25863353538887
39,15,0,1,1,77.27847381434385,272.19399350752553
27,20,1,1,1,67.99340878389675,244.27608085966813
12,30,1,0,1,62.30952221081563,224.498279229728
33,15,0,1,1,66.09512422477654,241.8228475091799
22,20,1,0,1,60.64744262198839,222.2771032367812
32,13,0,1,1,63.08136735637366,234.55953244460056
16,32,0,0,1,69.1530771603689,242.722158229124
23,35,0,1,1,85.2069305192011,290.8067951932185
30,17,1,1,1,66.90019242113031,243.54842774872284
40,20,0,1,1,83.73493367019994,292.98489750601874
30,22,1,0,1,73.13053642776225,261.6466252221253
34,19,1,1,1,74.75477445055132,267.3426577754357
38,21,0,0,1,81.81818478045587,287.3139031433769
37,29,1,1,1,94.22810918348225,322.7620763101207
35,23,1,1,1,83.11576179089552,289.58295857088
35,15,0,1,1,70.02400483008611,253.80166488230225
31,20,0,0,1,70.17622161593461,251.319384797387
33,11,1,0,1,62.43623151231608,230.11741854673036
26,30,0,0,1,79.48501736715677,273.13928508117465
27,19,0,0,1,65.91530137663882,240.7392558517544
33,21,0,1,1,77.3349233970438,269.7982510608068
32,30,1,0,1,86.71444099759903,299.0393032478762
27,15,0,0,1,59.519449513371725,220.40383316077012
37,14,1,0,1,72.86018963053411,262.9730418507225
21,19,1,0,1,55.98114416608621,212.1697772866893
27,21,0,0,1,68.869309453745,245.76863585113307
36,18,1,1,1,78.19706433505286,274.77254298442193
32,40,0,0,1,101.22925083368467,338.24869875361344
27,19,1,1,1,64.90671409754394,236.81795927255732
35,13,1,0,1,66.55207308775019,244.6720444339853
25,34,1,1,1,84.19242508434246,289.55615774888605
19,11,1,0,1,41.30343810241734,170.3855281781852
31,15,1,1,1,66.3405964629365,238.90593919266348
22,16,0,0,1,52.5280968758178,200.72859150826935
20,18,0,1,1,54.79350708603596,205.93845228337167
28,21,1,0,1,69.6828023307209,248.0375491120811
34,13,0,0,1,65.72999532882501,237.94868138826357
40,26,1,0,1,92.7261188166641,316.1950204922504
36,24,0,1,1,85.98936545032855,297.7454446263224
32,28,0,1,1,85.8728046387759,294.60289719463344
30,22,0,0,1,73.08288421021768,259.8273458194572
28,23,1,0,1,72.49664180288443,256.77503386297855
37,20,1,1,1,80.672305127755,284.56242430345685
28,13,0,0,1,56.65852933235628,213.7505769527116
44,21,1,0,1,92.0973993541207,316.24543057408795
26,27,0,0,1,75.05512618478876,264.03129029635306
30,24,0,0,1,74.52200588352659,262.8207544978235
33,15,1,0,1,67.0432613286834,244.99872508760723
31,19,0,0,1,70.62558843811692,253.76686664854785
36,11,1,0,1,67.22417684715893,243.1774650686719
27,17,1,1,1,63.954529924228936,232.05363620285857
25,19,1,0,1,63.48602879879729,231.9979124961228
42,31,0,1,1,102.05425458526462,343.31884484540484
30,19,1,0,1,70.56978808217914,251.78281996091195
38,22,1,0,1,85.47474670094003,294.85294269140826
21,18,1,1,1,57.831928232621095,213.3493078016849
20,11,1,1,1,46.42325044651502,183.0299371930394
26,17,0,1,1,62.10725333972759,224.83703869988864
27,19,1,0,1,65.38630866159947,237.0475624698861
24,31,0,1,1,77.83814813658863,271.84200010763203
49,20,1,0,1,95.43694173515335,327.46889813825715
38,17,1,1,1,78.81421295341715,279.9291015379372
42,21,0,1,1,88.1825827541005,307.76784798551694
36,20,1,1,1,78.57545340153344,276.3978044199291
29,19,1,0,1,66.56338675953623,241.68691056131135
23,10,0,1,1,46.99526580247101,186.57132806157463
9,20,0,1,1,43.12696165575144,167.40426308498752
29,6,0,1,1,48.93986635600202,192.3207012309761
32,21,1,0,1,72.89858421839443,258.90627381586364
30,23,0,0,1,73.8823366457117,263.88734847296195
34,18,0,1,1,73.19005527553841,260.98954436539105
40,19,1,0,1,81.99399526371712,289.744911213658
35,15,1,1,1,70.91607568348645,255.87557664882468
34,14,0,1,1,66.33303987302295,241.86343928978545
40,24,1,0,1,90.47985373769517,309.00773548099977
26,7,0,1,1,45.99281288920715,183.431824008682
32,27,0,1,1,84.00291572735452,289.2303841698352
30,16,1,1,1,66.22808086094368,239.81349997859732
33,18,0,0,1,73.20170941897568,258.82770819722725
28,13,1,1,1,59.637833791265656,220.36666959654235
18,19,1,1,1,54.55749293134614,204.5846687106257
34,29,1,1,1,87.68687912205112,303.07874800620857
29,19,0,0,1,65.89262988499759,241.387553228469
40,9,1,1,1,71.22415831145281,256.20421319390584
34,23,0,1,1,80.09551082433136,282.4407357008607
37,14,1,1,1,72.102206373011,258.8715707106336
38,24,1,0,1,86.44794518781062,299.27341756184626
40,14,1,1,1,76.13998588495845,272.1968532777447
47,27,1,1,1,104.6560679230044,353.01329841459136
28,23,1,1,1,74.218013424924,261.7951349523055
31,17,1,0,1,67.88761560494224,248.4934442801995
35,18,1,1,1,75.04656906182903,269.30819797990495
33,25,0,1,1,80.96084203751249,283.5858045533987
45,10,0,0,1,77.34352095936946,274.71890446796084
24,15,1,1,1,56.24108399895082,211.85599051757032
36,20,1,0,1,79.76457321916473,280.0651900648361
32,22,1,1,1,76.08080078374938,270.48859211829097
19,17,1,0,1,50.218626675609535,195.88528127356997
35,17,0,0,1,74.95446833918227,265.55468149414844
