parent_education_years,household_income_bracket,prior_math_score_z,is_english_language_learner,has_internet_access,received_online_course_invitation,enrolled_in_online_course,end_of_term_math_score
2,3,-1,0,1,1,0,52.13530569614195
4,2,0,1,0,1,1,54.97314672216381
2,2,0,1,1,1,1,58.44748034447233
6,2,0,1,1,1,1,54.29417667953477
2,2,0,0,0,1,1,57.38619106064301
3,2,1,1,1,0,0,50.09168379220116
0,3,-1,0,1,1,1,57.59665714740326
1,3,0,1,0,1,0,51.70551829059503
3,1,0,1,0,0,1,52.59819788844522
5,2,0,1,1,0,0,49.94996272741388
8,4,0,1,0,1,0,51.03747826501798
0,2,0,0,0,1,1,55.02649802943784
6,3,0,1,1,1,0,50.145415271115134
3,2,1,1,1,1,1,55.25366465178512
4,2,1,0,1,1,0,50.118260985293446
3,2,0,1,1,0,1,56.68659182284373
4,3,0,0,1,1,0,49.33174061468574
4,2,0,1,0,1,0,50.47804488137827
4,2,0,1,1,1,0,49.35030238802817
7,2,0,1,0,1,1,51.829564114148
1,3,0,1,1,1,1,56.62907270941525
2,3,0,1,1,0,0,51.40026105472413
6,2,0,1,1,0,1,54.74164116601602
4,2,0,1,0,0,1,54.60796466123421
3,3,0,1,1,1,0,52.34085609666205
2,3,0,0,0,0,0,52.738021717240855
6,3,0,1,1,1,0,50.60487544891114
2,2,0,1,1,0,1,52.77408866315679
2,3,0,1,1,1,1,56.55506580492562
5,3,0,1,1,1,0,52.485937828436974
3,3,0,1,1,1,0,49.83986984240649
4,2,0,0,0,1,1,52.7423906314579
7,2,0,1,0,1,1,53.22456658617271
3,3,0,0,1,1,1,55.40563816970456
3,1,0,1,1,0,1,55.137641628594366
5,2,0,1,1,1,1,54.08532067037119
2,3,0,1,1,1,1,55.62891871805868
2,2,0,1,1,1,1,53.94297136006146
6,2,0,0,0,1,0,50.473356350190826
7,2,0,0,0,1,0,48.42252393211606
4,2,0,1,0,1,1,53.985177069782544
1,3,0,0,1,1,0,51.78503758721875
7,3,0,1,1,1,1,54.81025583564258
3,2,0,1,0,1,1,55.75689786308343
3,4,0,0,1,1,0,53.2575754098122
3,3,0,1,1,1,0,50.45767151048868
4,2,0,0,1,1,1,54.262485871308286
6,2,0,0,0,1,1,54.20151939984626
5,2,0,1,1,1,1,54.56652384794991
3,2,0,1,1,1,1,55.86213207741135
1,2,0,1,1,1,0,51.03408609131778
3,2,0,0,1,1,1,53.66061246526564
3,2,0,1,0,0,1,54.57432459187763
0,2,1,1,0,1,1,55.42991904330554
6,3,0,1,0,1,0,49.86083108075938
5,3,0,1,1,0,1,55.40774235987495
5,3,0,1,0,1,1,54.419590505597625
5,3,0,0,1,1,1,55.56941647538145
3,3,0,1,1,1,1,57.84840410214454
6,3,0,1,1,1,1,54.273868972119104
4,3,0,0,0,1,0,52.264129817848286
7,2,0,1,1,0,0,51.37804394675602
1,2,0,1,1,0,1,56.747923738423886
4,2,0,1,0,1,1,54.31497612917321
6,3,0,1,1,1,0,51.06733952775589
7,3,0,1,1,0,0,50.92137303174155
0,3,1,1,1,1,1,57.60040276626866
5,4,0,1,0,1,0,51.56442882045318
0,3,0,1,1,1,0,50.842002679273655
4,2,0,0,1,1,1,54.297772947884766
4,4,0,0,1,0,0,50.684901493689885
3,2,0,1,0,0,0,52.71044007384991
3,3,0,1,0,0,0,50.81574379985998
1,2,1,1,1,1,1,57.36943394505038
-1,3,0,1,1,0,1,56.38343453526055
5,3,0,1,1,1,0,50.7539365677396
2,3,0,0,0,1,0,51.92301429822133
4,3,0,1,0,1,0,52.7440275199923
1,3,0,0,1,1,0,52.31194948054066
3,3,0,1,1,1,1,54.98215059283581
2,2,0,1,1,0,1,55.95543994143462
6,2,0,1,1,1,1,53.72869336329815
1,2,0,0,1,1,0,50.97974622982757
7,3,0,1,1,1,1,53.90384994915187
6,2,0,0,1,1,1,53.85695236687275
2,2,0,1,1,0,0,47.60920078605295
0,2,0,1,1,1,0,51.6008911489493
4,3,0,0,0,1,0,50.79352780836187
3,1,0,1,1,1,1,54.63547105523984
0,1,0,0,0,0,1,55.368047065401626
5,2,0,1,0,1,1,54.863696408076606
5,2,0,1,1,0,0,50.28567755609323
4,3,0,0,1,1,1,56.4129290382585
3,2,0,1,1,1,1,54.50491721117756
3,2,0,1,1,0,0,52.13797629358988
3,2,0,1,0,1,0,49.92095834386551
4,3,0,1,0,0,0,49.05011948976826
5,2,1,0,1,0,0,50.77324910343813
5,2,0,1,1,0,0,48.14459074364508
4,2,0,1,1,1,1,54.239246310617474
4,3,0,1,1,1,1,55.606874836887
9,2,0,1,0,1,1,52.70673514719803
3,2,2,1,1,1,1,53.67589139481122
0,1,0,0,1,0,0,49.19539713699356
5,2,0,1,1,0,0,47.785460154881925
-2,3,0,1,1,1,1,56.845593841502094
2,3,0,1,1,1,0,51.07982917274667
6,3,0,1,1,0,0,51.81837104686896
5,2,0,1,1,1,1,52.39067694936082
5,2,0,1,1,1,0,48.64608608017283
4,3,0,0,0,1,0,50.17217857942128
3,2,0,1,1,0,1,54.83984166172644
0,3,0,1,1,1,1,56.6974098603121
3,3,0,0,0,1,0,50.54488015696889
4,2,0,0,1,1,0,50.629385874636384
6,3,0,1,1,1,1,55.90529506839357
5,2,0,1,1,0,1,53.15385008603762
4,2,0,1,1,1,1,54.98685909803245
3,3,1,1,1,1,0,51.256524974491086
5,3,0,1,0,1,0,52.21053885934838
3,3,0,1,1,1,0,50.88536193851661
1,3,0,1,1,1,1,54.52233854882269
3,3,0,1,0,1,1,56.44244247514878
7,3,0,1,1,0,0,51.02593901842482
5,2,0,0,0,1,0,49.61979936537467
5,3,1,1,1,1,0,49.49059808764293
6,3,0,0,0,1,0,48.85874947935864
0,3,0,1,0,1,1,57.37602784334669
3,3,0,0,0,0,1,53.547768212830114
1,3,0,0,1,1,0,51.36528874544643
3,3,0,0,1,0,0,51.02869615403709
8,3,0,1,1,1,1,52.28221482236527
5,3,0,0,1,1,0,51.284055001118986
0,3,1,1,0,1,1,55.93806290764638
3,3,1,1,1,0,0,51.55190324257097
3,4,0,1,1,1,0,52.02432559983467
7,3,0,1,0,1,1,54.15745379734128
5,3,0,1,0,1,0,47.797449762124
3,2,0,1,1,1,0,50.72433079527504
4,2,0,1,0,1,0,50.75118594696556
4,3,0,1,0,0,0,50.286164759479874
7,3,0,1,1,1,0,50.31604757492677
9,4,0,1,1,1,0,48.51494144257654
6,2,0,1,0,1,1,53.08908872389705
7,2,0,0,0,1,1,51.789074476784506
0,4,0,1,1,0,0,53.01310479810821
2,3,0,1,0,1,0,51.06093933513981
-1,3,0,1,1,0,0,51.43282275349366
0,2,0,1,0,1,0,50.97557074167405
4,3,0,0,0,1,0,50.40878610371683
2,2,0,0,1,1,0,51.12120895093366
3,3,0,1,1,0,0,52.431745256374185
5,3,0,1,0,0,0,49.83889933673395
6,3,0,1,0,0,1,55.098357856312944
5,2,1,0,1,1,1,53.38418837656808
2,3,0,1,0,1,1,56.361856910174
5,2,0,1,1,1,1,52.23968180420075
6,2,-1,1,1,1,0,50.82910769581119
5,3,0,1,0,1,0,50.36056122880671
3,2,0,1,1,0,0,48.70595626227672
3,2,0,1,1,1,0,48.96532978674553
7,3,1,1,1,1,1,53.48411244682008
3,2,0,1,1,1,1,54.419229748144254
3,3,1,1,0,0,0,51.90629102618989
3,1,0,0,1,0,1,53.51608586919421
5,3,0,1,0,1,1,55.45841779884086
5,2,0,1,0,0,1,54.14115347446979
0,2,0,1,1,1,1,55.23666506255909
7,3,1,1,1,1,0,49.80322033812068
6,2,0,1,1,1,1,53.75575529290154
3,2,0,1,1,0,1,54.67089304670994
-1,2,0,1,0,0,1,56.381223476326056
3,2,0,1,1,1,1,54.96014508613906
5,2,0,1,1,1,1,54.560406809037815
1,2,0,1,1,0,1,56.18432220421237
5,3,0,1,1,0,0,52.02076739247157
6,1,0,1,1,1,0,47.777604799654085
2,3,0,0,1,1,0,52.33766687377654
2,3,0,0,0,0,0,51.83080393542558
3,2,0,0,0,1,0,49.15485964621643
2,3,0,1,1,1,1,57.33355529971736
0,2,0,1,1,0,1,55.18378739359853
2,2,0,1,1,1,0,50.665829021679286
8,1,0,1,0,1,1,51.307969068476616
1,3,0,1,1,0,0,53.2275708989512
5,3,0,1,0,1,1,54.80462376783302
2,2,0,1,1,0,0,49.89140011036367
5,3,0,1,1,1,0,52.75362909737535
3,2,0,1,0,1,0,49.8709671812373
2,2,0,1,1,1,1,56.62425303321878
3,2,0,1,0,1,1,53.37364916663825
1,2,0,1,1,0,1,57.08628596280634
5,2,1,0,0,1,1,53.99460150391762
5,2,0,0,1,0,1,54.8206676573237
1,2,0,1,1,1,0,50.04146780867753
3,4,1,1,1,1,0,52.98709146433909
6,4,0,1,0,1,1,56.93681500014197
2,3,0,1,1,0,0,52.07927203270999
6,3,0,1,1,1,0,52.15469246274299
5,3,0,1,0,1,1,55.889288488164695
1,1,0,1,1,1,1,56.920510176272735
3,2,0,1,1,1,1,53.790986789119714
5,2,0,0,0,0,0,49.2636036765694
4,3,0,1,1,1,0,49.41232927467714
2,2,0,0,0,1,1,55.53793661207809
3,2,0,1,1,0,0,50.20601908640164
7,4,1,1,0,1,1,54.3002471819692
4,2,0,1,0,0,1,54.07908523023483
6,2,0,1,0,1,0,50.039989676974095
3,1,0,1,1,0,1,56.86717792703191
0,3,0,0,0,0,0,51.38197718174821
3,2,0,1,1,1,1,55.01292046806776
3,3,0,0,1,1,0,50.91458643387426
6,3,0,1,0,1,0,51.14720734057049
3,3,0,1,1,0,0,49.88472885410469
3,2,0,1,1,0,1,53.96002978276375
4,2,0,0,1,1,0,49.04272441589136
1,3,0,1,0,0,0,52.08922436595904
3,2,1,1,0,1,1,54.56362951825632
0,2,0,1,1,0,1,58.56842699917481
4,2,0,1,1,1,1,55.987825531285566
5,2,1,1,0,0,1,52.65079609415603
3,3,0,1,1,1,0,52.066949903156
6,2,1,1,1,1,1,53.15517428121247
5,3,0,1,1,1,0,51.93862805202641
3,2,0,1,1,1,0,49.89573821622453
-1,3,0,1,1,1,0,52.4716642247322
2,3,0,0,1,0,1,57.75810803666709
5,2,0,1,1,1,1,54.31070832976502
5,2,0,1,0,1,1,55.10432907546557
3,3,0,0,1,1,1,56.509572583719645
2,3,0,1,1,1,0,51.13949634562414
4,3,0,0,0,1,0,51.18683082398788
0,2,0,1,1,1,1,54.90868510683881
-1,2,0,0,1,0,1,56.03413837205034
0,2,1,1,1,1,1,54.37480680444271
5,3,0,0,1,0,0,51.28298137053407
2,3,0,1,0,0,1,55.9445679328319
4,2,0,1,0,1,1,54.91796564003241
6,3,0,1,1,1,0,48.25371857633292
3,2,0,0,0,1,1,53.89140507337809
3,2,0,1,1,0,1,54.0048110333244
2,3,0,0,1,0,0,52.308428683754215
7,2,0,1,1,0,1,53.62938912137656
5,3,0,1,0,1,1,55.02258329040567
1,3,0,1,0,1,0,51.62257673642807
3,3,0,0,0,0,0,51.92083897423163
7,3,0,0,1,1,0,51.64791192436015
5,3,0,1,1,1,0,51.16740385120879
2,3,1,1,1,0,1,56.9832504692829
6,2,0,0,1,1,1,53.022799125009485
2,2,0,0,1,1,0,50.03712079524678
4,3,0,0,0,1,0,50.49822870336816
5,2,0,0,0,1,1,54.69828061357934
1,3,0,1,1,1,1,55.4534560179817
1,3,0,1,1,1,0,52.24394543131629
5,3,0,0,0,1,0,49.25694907814655
4,3,0,0,1,1,0,49.10516333908888
4,3,0,0,1,1,0,51.015464197873385
1,2,0,0,1,0,1,54.71683567745506
4,2,0,0,1,1,0,47.89574455647887
3,3,0,1,1,1,0,48.94647549437602
1,4,0,1,1,1,0,51.51171916365024
3,2,0,1,1,1,1,56.40256456817058
6,3,0,1,1,1,1,53.731008156713855
-1,3,0,1,0,0,0,51.0637914233157
10,3,0,1,0,1,0,50.25395265273587
3,2,0,0,1,1,0,50.96475764581014
6,3,0,1,1,1,0,49.69570172823413
4,3,0,0,1,1,0,49.70512848695039
2,2,0,0,1,1,1,54.204370060387575
3,1,0,1,1,1,1,53.8837231904585
6,1,0,0,1,0,0,48.20980150610239
8,3,0,0,1,1,0,50.00739599825423
7,3,0,0,0,1,0,50.40259287131865
7,3,0,1,0,1,0,49.95562045160735
5,2,0,1,1,0,0,49.100395302356986
0,3,0,1,1,1,1,55.95705125591377
5,2,0,0,1,1,1,56.14287572448373
1,2,0,1,1,1,1,54.038879824492426
7,3,0,0,0,1,0,52.33746081124012
0,3,0,1,0,1,0,52.54687630859733
4,3,0,1,1,1,0,51.25119740429886
2,2,0,1,1,1,1,54.76463531736609
3,2,0,0,0,1,0,49.334417186517015
4,3,0,1,0,1,0,51.650575020753344
5,3,0,1,0,1,0,49.915671182870256
2,3,0,0,1,0,0,52.06803685691948
3,2,0,0,1,0,0,47.85116503311136
3,3,0,1,0,0,0,50.22997016909509
8,2,0,1,1,1,0,49.24631132432114
2,3,1,1,1,1,0,53.06559558652011
3,2,0,0,1,1,1,55.08337880610517
0,1,0,1,0,0,1,56.70898851982669
7,2,0,0,0,1,0,47.61788136267487
8,3,0,0,1,0,0,48.76257763697032
3,3,0,1,1,0,0,49.11784132181088
4,2,0,1,1,0,1,55.01692009617737
2,4,0,1,0,1,1,56.36132495500172
4,3,0,1,1,1,1,55.45216727341295
3,2,0,1,1,1,1,54.740110616111565
9,2,0,1,1,0,1,52.10460893077671
6,2,0,1,1,0,0,48.17738219316709
4,3,0,0,1,1,1,56.46080610553669
5,2,0,1,1,0,0,50.94130491780228
3,3,0,1,0,1,1,54.77823375552418
4,2,0,1,0,1,1,56.04018206364317
0,3,0,1,1,1,0,50.983030535765344
0,3,0,0,1,1,1,56.51539618136477
8,2,0,1,0,1,1,53.10265352842298
5,2,0,0,1,1,1,54.60434367313927
3,3,0,0,1,0,0,51.80250428520507
8,3,0,0,1,0,0,48.99601541768119
7,3,0,1,0,1,0,50.42323083298415
5,1,0,1,1,0,1,54.757013471455394
3,3,0,1,1,0,0,50.47262500523456
4,3,0,0,1,0,1,55.50257681631751
2,3,0,1,1,1,0,51.068231661450135
5,2,0,0,1,1,0,51.74517280212084
3,2,0,0,1,1,0,49.68999054979236
2,3,1,1,0,1,1,55.31723973034824
2,3,0,0,0,1,0,50.897928877340725
4,3,0,1,0,0,0,49.78362911739256
5,2,1,1,1,1,1,54.54984964469035
4,3,0,1,0,0,0,48.87614457154263
5,3,0,1,1,1,0,51.95647230748959
3,3,0,0,1,0,0,53.31809743262775
1,2,0,1,0,0,1,56.21642676723804
4,3,1,1,1,1,1,56.44014693252165
2,2,0,0,1,1,1,56.01206638766547
1,3,0,0,1,0,1,55.79541692092152
5,2,0,0,1,0,1,54.96565985009426
5,2,0,1,1,0,1,53.33626631042095
3,2,0,1,1,0,0,52.019150555950105
3,3,0,1,1,1,0,52.39206461233906
3,3,0,1,0,1,0,50.56754441206379
0,2,0,0,0,1,0,52.1695254131187
4,2,0,1,0,1,1,56.07044886592429
6,2,0,1,1,1,1,53.64989563082174
2,3,1,1,1,1,1,55.00861721804075
