age,previous_convictions,income,gender,minority_status,judge_experience_years,legal_representation,sentencing_length
10,31,8,0,1,11,56,363.0175273082755
12,30,10,1,0,13,57,369.2690509298969
4,30,4,0,0,12,57,372.4864530693007
11,26,6,0,0,13,52,337.9954873503752
11,30,7,0,0,10,52,338.83462203190044
11,26,8,1,1,10,48,313.76443617533266
14,32,12,0,1,15,57,367.66636648494807
4,31,5,0,0,13,56,362.2743251322416
4,29,7,0,1,11,55,361.9877751288146
9,28,5,0,0,15,56,360.7576712900648
5,29,2,1,0,9,55,360.2909874661496
10,28,11,0,1,10,50,328.68524822547
7,29,-4,1,0,8,53,349.8839996410797
14,28,14,0,0,12,53,344.30192286311825
8,27,7,0,0,13,49,319.31967793235304
10,31,14,0,0,11,53,346.2238998396677
11,29,0,1,0,13,54,354.1119921558121
11,27,5,0,0,8,53,345.50890497050074
11,33,8,0,1,13,56,365.3051625208744
11,29,9,1,0,10,53,345.6732585571517
9,31,9,0,0,14,55,354.49840009475804
9,31,8,1,0,11,55,357.6414356062021
11,30,4,0,1,10,52,340.42391943823475
12,29,4,0,0,11,50,329.288975425294
10,31,7,0,1,13,56,363.3888400655517
10,28,4,0,0,14,54,349.1749229692238
7,30,4,1,0,11,57,372.1641578992647
9,34,3,1,0,8,59,384.27474667529407
9,33,9,0,0,11,59,380.9130458298392
5,30,9,0,0,14,56,364.738944328545
6,29,2,0,0,9,54,354.1282029846115
11,27,8,1,0,12,50,327.05121807938656
8,30,6,0,1,13,58,376.61038314079786
6,32,6,1,0,9,58,377.757500276883
7,28,7,0,0,10,52,342.95352858967226
9,29,8,0,1,13,55,356.40983568718553
13,28,0,0,1,10,51,336.69075953884527
11,28,7,0,1,8,50,327.7721657665523
12,32,8,0,0,11,58,374.7039736503063
6,24,11,0,1,13,50,327.9955724478515
9,30,14,0,1,10,53,346.8009351734364
7,30,7,1,0,11,55,360.7197016169648
11,27,9,0,0,12,51,331.79972201556467
11,31,10,1,0,10,53,346.9279081696293
10,29,7,0,0,9,52,340.0123262030969
12,28,11,1,0,11,52,339.92482307393084
8,27,6,0,1,13,54,352.88255027759686
9,31,5,0,0,9,55,358.5637840383447
8,29,7,1,0,13,56,364.9748835115357
8,30,14,0,0,12,55,357.63644137645315
10,27,8,0,0,10,49,322.07205423315804
7,32,6,1,0,13,59,379.7853990289461
9,28,7,0,0,10,53,345.2720469514186
9,28,4,0,1,11,55,359.2607514783578
8,30,6,0,0,12,57,372.74644209498086
5,29,10,0,1,13,55,356.3707544633635
10,29,6,1,0,9,48,314.7543794450924
6,32,9,1,0,12,57,368.8215601438571
12,29,7,0,1,14,55,357.3703405198534
7,26,13,0,0,11,52,338.0884382584613
11,30,7,0,0,14,58,375.9448361660607
7,30,7,0,0,9,54,352.0017452402295
10,35,5,0,1,14,57,370.948954047421
14,30,4,0,1,14,52,340.6455399465791
9,31,8,0,0,11,55,355.99898794733014
8,32,4,0,0,11,58,378.88577149029067
8,25,5,0,0,11,49,321.98390085043167
14,29,8,0,1,11,52,339.2567791001496
10,25,10,1,0,12,51,331.59515749736806
7,27,4,1,0,13,54,351.19183419356114
9,32,7,0,0,15,59,379.6602090383544
7,31,8,1,1,9,54,354.21009906821706
13,28,8,1,0,15,51,331.25583343577347
10,31,1,1,0,16,58,376.2219225892492
10,30,5,0,0,7,52,341.69403301598766
10,31,9,0,0,13,55,355.6823197097471
7,26,7,0,1,12,51,334.8656204788957
9,30,5,0,0,9,55,358.44072780046184
9,27,9,0,0,10,52,339.9830325099257
13,29,9,0,0,14,53,342.48676789221486
3,27,11,0,1,10,53,348.3120155985639
7,31,10,1,0,11,56,363.7750482765707
11,28,8,0,1,13,54,352.12002595725227
9,29,8,0,1,15,56,365.74620275478617
12,31,2,0,0,14,55,355.70123663578045
8,31,6,1,1,10,53,347.3272822029061
8,26,7,1,0,11,52,338.8630140719058
4,30,10,0,0,8,54,353.3254179113832
16,30,14,0,0,11,54,350.86086784564577
9,30,7,1,0,12,56,361.8644307058144
7,29,5,0,0,13,56,363.59763192032494
8,27,9,0,1,10,52,337.11169110494995
8,27,8,0,0,9,50,329.46729191255673
4,31,4,1,0,13,57,371.38262059977535
14,27,10,0,0,12,52,338.1089316964931
15,30,8,1,0,12,53,341.97671765357245
8,29,2,0,0,13,53,345.5878615007662
12,27,7,1,1,12,52,337.8739166911561
9,30,9,0,1,14,55,359.10648465357593
11,27,8,0,0,10,51,333.86673361263064
12,28,11,1,0,17,57,368.5870102120289
12,31,5,0,0,15,54,349.3937349076101
11,34,14,0,1,9,54,351.75214053851766
14,27,8,1,1,12,52,340.05769326860604
11,31,11,1,1,12,56,364.0023659115225
1,29,8,0,0,14,57,371.47825042142256
8,29,8,1,0,10,55,358.77726879178266
11,33,9,0,1,11,54,350.3140069506243
13,32,6,1,0,9,57,371.3734033877166
11,26,7,1,0,14,54,352.5020324036946
12,28,9,0,0,12,54,349.6417981368653
9,26,11,1,0,10,49,321.7799052064072
5,32,4,1,0,6,55,360.2144095939552
11,29,6,1,1,8,50,329.0685596001636
10,30,9,0,0,12,55,358.9975186858162
9,27,6,0,1,10,54,354.2411130437337
12,29,13,1,1,10,51,331.9242177155888
11,30,8,1,0,11,54,351.69648670141385
11,29,6,1,0,12,52,336.7695319186297
7,35,7,0,0,12,58,375.3695922964424
8,34,11,0,1,13,61,394.0173053855136
12,31,13,0,0,12,54,350.52295596864855
11,28,10,0,0,15,54,348.1175578017808
14,31,3,1,0,14,55,355.23387256441265
12,29,3,0,0,11,52,339.9854554368146
12,31,9,1,1,11,56,362.26993644522463
6,34,9,1,0,11,57,373.7711972716526
8,33,4,0,1,13,60,389.4693036611551
7,32,10,0,0,9,55,361.468850889885
8,28,6,1,0,13,56,362.2302200459168
5,27,0,0,0,14,54,350.45064044650763
13,30,4,1,1,11,52,339.97472713918194
3,33,11,1,1,11,59,383.15676031693727
13,30,7,0,0,13,55,354.315916841342
7,33,5,0,0,11,59,381.3891397303916
9,26,10,0,1,12,53,349.048208153797
11,31,9,0,0,14,56,361.615332634306
8,31,6,0,0,11,56,365.0366469516104
7,34,10,1,0,10,59,384.56815709231546
6,28,8,1,0,7,52,341.9050243839821
8,28,6,0,1,12,53,346.2091174817214
10,29,2,0,1,9,52,343.0844926617348
8,30,12,1,0,12,55,355.8257969548249
14,32,6,0,0,12,56,365.4107878249997
6,29,8,0,0,11,56,363.2347851944616
10,31,8,0,0,15,54,353.78356515099387
11,29,5,0,0,10,53,345.808220358244
8,30,6,0,0,10,54,351.581472510876
13,33,7,0,0,13,58,377.7696439427665
9,29,6,0,1,14,56,365.43688658950566
7,28,11,0,1,13,55,356.77316601256746
12,26,2,0,0,9,48,316.5607349386212
14,29,9,1,0,11,53,344.73084398387056
11,30,7,1,1,10,53,346.7912857362907
12,28,0,1,1,15,53,345.12151667715915
7,27,7,0,0,14,53,344.512138231191
5,30,7,0,1,9,53,348.9846292950484
6,25,7,0,0,10,52,340.74048484078764
13,26,13,0,0,12,49,318.269719684448
7,25,11,1,0,12,53,347.1531071824344
8,31,12,0,0,11,54,351.5710477446284
13,32,12,0,1,10,54,350.0149156498961
6,29,5,0,0,12,56,365.91924258394187
8,31,13,1,0,11,54,352.5807578287322
9,32,3,0,0,11,56,361.8705104588344
10,30,4,0,0,10,54,351.3629605737912
8,28,12,1,0,12,53,347.41007855647683
11,28,5,0,1,10,52,341.3194415112921
11,31,9,1,1,12,55,358.57160682159326
10,27,6,0,0,9,51,335.2629386546708
7,29,2,0,0,9,52,340.4392240886088
11,28,9,0,0,14,51,333.8089462122292
6,32,11,0,0,12,57,369.46952553664414
9,30,2,1,0,9,53,348.4863801733846
14,30,4,0,0,12,52,339.1865036262235
9,28,9,1,1,12,52,340.4029684284529
12,30,10,1,0,15,54,348.44704088668
14,35,9,0,1,15,57,367.0605986947401
7,29,9,0,0,9,54,353.332747419319
10,30,10,0,0,15,56,362.5392318207851
11,26,6,0,0,11,49,320.59958305410504
6,25,10,0,0,8,49,324.2576159316318
10,30,8,1,0,13,53,346.9863329465504
5,32,9,1,1,11,57,372.8538638212723
7,30,13,0,0,8,52,341.5400272805657
11,30,11,0,0,6,51,335.5133507223932
14,30,8,0,0,12,54,350.66354823351946
6,29,9,1,0,12,55,356.68517635322297
11,27,6,0,0,11,52,340.560953992084
9,29,12,0,0,8,55,359.3745932687211
8,30,7,1,0,15,58,375.6422460367893
12,31,9,0,0,13,57,368.60353179112144
9,32,5,0,1,11,54,352.2624074360553
6,30,11,0,0,11,53,343.61851568777826
13,30,4,1,0,13,57,371.154562356928
11,32,14,0,1,13,54,353.1552223829753
11,32,10,1,0,12,57,371.2017584180772
12,27,7,1,0,11,54,353.2840427908011
7,29,8,0,0,10,53,344.9685520191697
11,26,13,1,1,11,52,341.09669078594465
6,29,4,0,1,12,56,365.8062547264965
11,30,14,0,0,12,54,347.5255452720857
13,29,6,0,0,14,52,339.6910315322956
6,30,6,0,1,12,56,365.78460144869337
11,33,5,1,0,12,59,383.2107631143257
11,30,12,0,1,8,50,328.975801088375
13,34,7,0,1,14,59,381.6049739787303
10,28,8,0,1,8,53,346.33857338809656
10,26,7,1,0,11,49,320.5796094203289
7,33,13,1,1,14,59,381.9775709825332
10,29,10,1,0,17,57,367.3759127801101
12,31,3,1,0,11,53,346.7752712352804
10,31,6,1,0,13,57,368.40123152887776
15,31,5,1,1,8,53,346.403297710495
13,30,6,0,0,13,54,355.170890258922
5,29,7,0,0,13,55,358.19080995040974
11,26,7,1,1,9,50,331.0060088132794
11,33,7,0,0,11,57,369.2743376663055
11,26,7,0,1,12,53,345.06223182342575
10,32,8,0,0,11,57,370.46913036503736
10,29,11,0,0,10,54,350.74913348321087
6,29,5,0,0,15,57,370.3718291239689
3,31,10,1,0,16,58,374.1083219436935
10,30,2,0,0,9,51,333.5383039134118
10,28,12,1,1,13,55,356.31408187575755
9,32,0,1,1,9,57,373.4206136151426
14,28,7,1,0,10,53,348.04357134882497
8,28,8,0,0,13,54,353.71035914450647
10,28,12,0,0,10,50,331.104676338038
7,37,6,0,0,8,58,376.5040391483211
8,31,2,1,0,12,56,366.5711943588797
6,28,2,0,1,12,57,372.1526051912257
11,30,13,0,0,9,50,325.3324847940221
11,28,1,0,1,12,54,352.8206581109713
11,33,11,1,1,15,58,375.05178737664414
14,30,7,0,1,11,49,321.4169103529214
11,35,2,0,0,12,56,361.99903732009744
10,30,10,1,0,13,59,380.02129894854033
7,33,5,0,1,10,58,379.7348214019746
7,27,4,1,1,12,54,354.39255840327604
6,30,8,0,0,13,56,362.9182851269768
10,28,10,0,0,11,53,346.1440683752469
6,30,8,0,0,9,55,358.5974276407369
13,29,8,0,1,13,54,349.584375061891
10,31,4,0,1,10,56,367.068897093537
5,33,7,0,1,9,56,366.2470244494569
8,26,9,0,0,12,51,333.720715073054
12,32,12,0,1,14,56,362.4141075688144
8,33,8,1,0,13,58,376.322155530387
8,27,11,0,0,8,51,334.5191865656783
9,31,8,1,1,8,55,359.66450431923585
7,30,5,0,0,10,56,364.6089638982194
5,29,7,1,0,9,54,354.64685816015543
13,31,7,0,1,15,55,357.5923130707713
13,29,2,0,1,14,54,351.49797508715324
7,32,10,0,1,12,54,353.2032320943653
11,29,9,1,1,12,53,346.63375246198405
10,25,3,0,0,11,50,327.845505059729
8,32,7,1,1,12,56,362.41017627967096
6,31,9,0,1,10,55,360.8958079564583
8,29,1,1,0,14,54,352.0314327824
11,28,9,1,0,9,53,347.0952250434143
9,28,11,0,0,13,56,362.16000975935793
11,32,3,1,0,10,56,364.0333012060919
9,29,2,0,1,9,54,356.33187853254515
9,32,11,1,0,7,54,353.18096170343404
7,28,9,1,1,12,54,353.73699283728365
10,29,9,1,0,13,55,357.1583347906669
8,31,9,0,1,9,54,354.7607263690616
10,30,5,1,0,13,54,351.6765920796753
12,29,11,1,0,9,53,347.52990521267884
6,31,14,1,0,13,56,360.01729683403875
8,33,8,0,0,13,58,375.13229887734
9,28,15,1,0,9,52,337.98273849083176
12,28,4,0,0,9,52,341.1600346955874
14,27,12,1,0,10,50,324.6424328668108
11,30,5,0,0,11,52,337.32135975136345
9,31,5,0,0,12,55,361.5583087410604
9,30,11,0,1,13,56,362.6653741179833
6,32,8,0,0,14,60,385.91375843600576
10,29,0,0,1,16,55,357.23237188278085
9,30,10,0,0,13,54,350.78307926724625
12,28,9,0,1,11,52,339.1432353666743
9,32,9,0,0,12,58,375.8081806388808
9,26,8,1,0,12,53,346.312550091639
6,27,6,0,1,14,53,346.0598000548644
13,29,7,1,0,12,53,345.6622411741629
4,30,7,0,1,12,56,367.0228562323165
8,29,4,0,1,11,57,370.89297584318376
2,34,8,0,0,11,59,383.8130885876732
9,31,11,1,0,6,54,352.2868074863166
10,32,8,1,0,14,58,372.85824450817927
6,34,10,1,1,15,60,387.29884605941936
11,29,7,0,0,10,55,357.0898833368685
8,29,3,0,0,11,54,353.47659952531967
10,25,7,0,0,12,51,333.5937356437608
8,32,7,0,0,13,57,369.6452011670678
7,32,6,0,0,11,57,370.68623134309416
10,31,7,1,0,13,55,359.25942883348347
11,27,10,1,1,13,54,350.3356339446266
8,31,7,1,1,10,54,353.56853046173165
10,29,10,0,1,10,51,334.6567242242958
11,30,14,1,0,13,56,361.9926810681873
8,32,14,1,0,11,56,364.0559151970154
10,28,9,0,0,13,54,351.7703915261112
3,30,6,1,0,12,56,367.872236030542
11,34,12,1,1,11,60,390.1851560990309
6,31,1,0,0,15,60,388.6094230007964
9,31,9,0,1,10,57,372.8173200963135
10,33,8,1,0,11,56,364.9787070470971
10,33,7,0,0,10,55,359.029929050458
11,32,6,0,1,11,55,357.7817036875767
5,33,9,0,0,11,56,367.0706944045445
8,26,10,0,0,12,50,327.6724728694057
7,29,7,1,0,14,55,357.1478622005465
7,31,6,1,0,9,56,365.8245140486645
6,33,9,0,0,11,57,370.7766009929488
13,27,12,1,0,12,49,319.43910799110773
8,27,9,1,0,10,51,331.48340399963985
6,30,13,0,1,14,57,366.2642147324189
6,27,6,1,0,10,53,345.00970819752115
7,28,10,0,0,13,55,358.0317417489094
9,33,8,1,0,12,60,389.2687827570461
11,31,11,1,0,13,54,349.981276569656
7,23,3,0,1,11,51,334.76477932085663
8,29,7,1,1,12,58,378.8474978601157
9,28,12,1,0,9,54,350.78478693322745
10,33,1,1,0,8,53,345.61152831164134
10,28,3,0,0,13,52,338.3700251370668
7,27,7,1,1,11,50,330.1794964600578
12,31,14,1,0,14,56,360.4297206856508
12,31,12,0,0,11,53,346.3364047450799
9,30,12,1,0,8,53,348.5107199455342
9,28,1,1,0,10,52,339.16569462299805
6,28,5,0,1,13,54,352.7823618614066
15,30,0,0,0,11,53,346.8896494871093
12,32,5,1,1,10,53,346.0678932240818
11,28,3,0,0,10,52,340.33054685534466
10,31,10,1,1,13,57,369.66096066008447
4,30,8,0,0,11,56,364.8392110510234
5,30,4,0,1,10,56,367.5548790191078
11,29,6,1,1,12,58,377.39204242266646
12,30,5,0,0,13,53,345.03086276909534
7,28,3,0,1,11,52,340.77343942879
9,24,12,0,1,13,51,334.7299575040626
6,31,7,1,0,12,56,364.567972959988
7,27,5,0,1,11,52,342.42628888023586
13,32,11,0,0,12,54,348.01857500125124
5,31,3,1,1,11,56,367.1755692086925
9,29,7,0,1,11,54,350.48118389986365
6,29,8,0,0,12,57,372.4014507931349
11,29,11,0,0,10,54,350.8611114100784
8,31,5,0,0,14,57,367.66799468066375
10,32,7,0,1,10,53,348.11208396197065
11,30,7,0,0,11,54,350.2318914285943
9,26,6,0,0,14,54,349.0787837286222
7,30,7,0,1,10,53,344.65366068148734
9,27,2,1,1,14,56,362.7226610111696
8,28,11,0,1,10,50,330.41362158794703
6,28,6,1,0,11,53,345.68134283695565
9,25,9,1,1,12,51,334.87201978751574
11,30,3,1,0,15,59,382.5520978852843
9,29,7,0,1,12,55,359.68109509239633
9,25,12,1,0,9,49,320.1378057491661
9,30,10,0,0,15,58,375.5644370556008
9,29,6,0,0,12,55,358.1268663338883
4,32,6,0,1,11,58,376.46438803443976
7,30,9,1,0,13,55,356.9227676401776
6,27,10,0,0,12,56,363.3868436409892
10,32,6,0,0,9,57,371.1017951001074
11,30,11,0,0,10,51,335.84629099333125
12,28,8,0,1,7,48,316.98634955389167
10,31,6,1,0,14,56,363.16132931930434
10,29,6,0,0,10,53,345.1155375441974
12,32,12,0,0,10,52,340.669405535015
7,25,5,1,1,10,50,330.6451757780717
8,29,7,0,0,10,55,358.6568956267181
6,31,6,0,1,14,57,372.5278548469745
11,31,10,0,0,11,55,355.31906666499503
8,30,6,0,0,13,54,352.84122961935805
6,33,11,1,0,14,59,380.7620019742869
6,30,5,1,0,11,56,364.4571626411995
7,32,13,0,0,11,59,384.68568980603294
10,35,5,0,0,10,59,385.60019737531536
13,31,7,1,0,11,56,364.6475498476584
7,24,9,0,1,11,52,340.6305856440607
15,32,3,0,0,13,54,351.3334647875122
8,29,9,0,1,10,53,348.0051988326685
11,31,10,1,0,14,58,373.500927013469
11,28,9,0,0,13,52,339.5705726736236
10,28,8,1,1,11,53,348.50956211065176
10,27,9,1,0,10,52,338.44568910735114
13,31,12,0,0,12,56,361.36344773801017
4,31,8,1,1,15,58,377.93405111307214
11,28,10,1,0,14,54,350.4893844740624
14,30,5,1,0,10,53,348.88767269995947
4,29,8,0,0,13,58,375.3419827657644
8,25,13,1,1,11,48,317.6403354091951
7,27,10,0,0,9,53,347.7536251307409
8,33,14,0,0,11,53,346.45981744505434
12,29,11,0,0,10,52,339.3200826602392
11,30,6,0,0,10,51,335.17060847076345
8,28,14,0,1,8,49,321.2547290739689
16,30,10,0,1,10,50,326.7374241780733
11,31,11,0,1,11,52,341.9241487600595
8,29,3,0,1,12,55,359.15832686226514
8,27,7,0,0,11,54,353.0960997439758
10,30,2,0,0,11,56,364.53988089714863
12,34,8,1,0,11,57,370.8620670332788
6,27,7,1,0,14,55,356.98907840639066
7,30,8,0,0,12,54,351.77395654809226
6,31,6,1,1,13,58,379.1576698075242
9,30,12,1,0,12,57,368.04511224545473
6,30,6,1,0,9,54,353.50992418056944
12,30,2,0,0,13,55,359.44303312431
8,31,6,1,0,11,57,371.5401902827537
13,33,11,0,0,12,55,358.4610270338647
10,27,11,0,0,11,54,352.08498127779296
8,28,13,0,1,10,53,345.4077023432524
8,27,5,0,0,14,54,349.7083558000191
15,34,8,1,0,11,53,344.28507764019787
12,26,7,0,1,9,50,328.52214656535466
13,32,10,1,1,9,51,333.3201634923195
14,33,7,1,0,11,57,368.1327693922833
6,31,7,1,0,14,59,381.41619132573305
11,29,12,1,0,14,55,358.1240248157181
8,28,6,0,1,15,54,349.8135873603314
9,30,6,1,0,11,56,366.6649555000621
3,28,5,1,0,14,57,370.7950933459597
8,32,3,0,0,8,54,357.9924099877736
9,30,6,1,0,12,55,359.5336120254445
7,32,6,0,0,12,59,380.1898566697503
11,32,4,0,1,10,54,354.46930232312303
9,30,8,1,0,11,53,346.393343349972
9,28,9,1,1,11,53,347.11376212121326
6,30,7,0,0,13,53,346.9123377908958
13,32,9,1,0,11,59,381.5785086017447
11,32,12,1,1,12,53,343.59334629537767
9,28,8,0,0,12,53,347.6532928479046
9,26,9,0,1,10,49,321.52051520318565
15,36,5,0,1,12,58,375.6339903344213
10,30,3,1,1,14,55,357.6516272762215
9,28,3,0,0,12,51,332.69261900532643
9,35,1,0,0,10,56,367.3959225515591
14,31,12,1,0,11,50,323.3954709394266
4,31,8,1,0,9,54,353.9624834123841
7,26,3,0,1,10,51,335.02784197904407
12,34,4,0,0,11,56,366.437979434425
12,27,5,0,1,16,53,346.7174942617164
11,31,9,1,0,13,56,361.68024799439866
9,29,5,0,1,12,54,355.805144665148
10,27,5,0,1,13,52,340.6857027118168
10,28,13,0,1,7,51,331.0638873923277
5,28,11,0,1,7,52,341.4024985173171
8,32,7,0,0,12,56,365.6935901954732
9,28,3,0,0,9,51,335.8869233926657
9,30,3,0,0,11,53,347.423632205318
5,32,3,0,1,16,61,395.5138685436111
12,30,6,1,0,13,57,367.88914291846737
8,29,8,1,0,8,52,341.83366650640585
9,31,8,0,0,10,54,352.36587886618275
8,30,8,1,0,16,55,356.9405247720088
10,32,7,0,0,11,55,358.6437164733367
6,32,4,0,0,10,55,360.3685154626208
11,30,6,0,0,10,54,350.45793034346457
8,30,5,1,0,8,54,355.0423879390148
9,30,12,0,1,12,55,359.130490454276
7,30,11,0,1,12,55,358.1031112308366
8,28,4,1,1,14,55,358.8315031544435
6,25,7,0,1,11,51,332.8415491098782
10,29,10,0,0,13,51,331.25429944479646
9,33,9,1,1,12,57,369.2084883005605
5,29,5,0,1,14,58,376.19291065978285
16,31,12,0,1,14,55,357.23654382654536
8,29,12,0,1,14,57,369.90360428567175
8,29,2,1,0,14,56,362.5060097884601
12,27,9,0,1,8,48,314.2108638773116
4,29,7,0,1,15,58,375.0562856990218
9,33,11,1,0,12,57,370.287718085896
15,32,6,0,0,9,52,339.967937669342
10,31,8,1,0,11,54,351.4663225135108
13,31,8,0,0,14,57,367.0444006745214
6,30,10,0,1,7,56,363.6694251153448
12,32,9,0,1,10,54,351.4233751627879
12,29,9,0,0,12,52,338.9358706821363
9,32,11,0,0,15,58,374.8704715888862
9,33,9,0,0,8,56,363.9537427485504
12,28,10,1,1,8,50,326.69756499310546
11,29,6,1,0,11,52,339.8324918796472
12,33,6,0,1,11,54,351.10067631934675
13,31,10,0,1,11,54,352.17932019374814
14,28,7,1,0,13,52,337.51200218936407
13,28,9,0,1,13,53,343.52128231732104
9,32,8,0,0,12,58,375.18090414123503
8,26,8,0,1,11,50,329.4252052065021
11,30,8,0,0,9,51,330.8099613211844
11,30,13,0,0,9,52,340.7326619306427
11,27,1,0,1,7,51,338.30606080344154
5,30,3,0,0,12,58,381.2797812943554
11,26,8,1,0,12,50,331.1997590615956
4,29,10,0,1,11,57,370.9052010137543
10,29,8,1,0,9,52,340.24643505034726
6,30,12,0,0,12,56,365.4953348181592
9,30,11,0,1,10,51,336.38552402255783
7,30,11,0,1,12,56,362.9537912453326
11,27,6,0,0,8,49,322.03302345727894
6,29,4,0,1,9,53,347.1833498342617
10,28,9,0,0,10,50,327.0046207129124
15,31,11,1,1,9,52,339.4422444970123
