age_of_candidate,campaign_spending,political_experience,incumbent_status,gender,economic_condition,media_coverage,election_outcome
9,30,9,1,1,13,16,110.7669912958
10,26,2,0,1,10,15,103.506959763251
9,28,9,1,1,10,18,116.34613358790232
9,34,13,1,0,14,12,108.7041151434353
8,33,14,1,1,11,12,102.3202459729272
9,29,8,0,0,12,14,104.79706913024788
8,29,7,0,0,11,17,114.36072788245232
10,29,9,1,1,10,16,110.39957788272515
6,33,5,1,1,9,11,98.15784930860691
7,29,10,1,1,10,14,102.34606713035936
11,33,6,0,1,10,10,97.79937882756772
9,30,3,0,1,12,14,101.57823707577504
11,30,8,0,1,14,18,118.10912493931453
6,29,6,1,0,13,13,101.06253425579426
13,32,7,0,1,9,10,94.3032536209022
3,31,7,1,0,10,10,95.18510508099048
10,28,6,1,1,12,20,118.34271003560012
5,30,14,1,1,10,11,98.11712785408102
11,27,14,1,1,12,16,108.85146357318644
9,33,12,1,1,7,12,101.6708211956076
5,31,11,0,1,8,13,105.06157398704616
11,27,7,0,1,12,19,117.89694580583266
9,26,10,1,1,12,16,106.24921732628842
9,29,5,1,1,11,17,113.73188628787256
8,31,9,1,1,9,12,99.62204847080532
12,29,9,1,1,10,14,106.74713356736396
8,31,2,0,1,14,15,109.39739732046267
11,30,4,0,0,11,14,105.96812477718608
8,31,6,0,1,10,16,109.24506273853198
6,26,8,1,1,10,17,110.05135230794052
7,30,9,0,0,7,12,100.25453703267878
8,27,7,1,1,9,15,103.65081082240044
13,29,8,0,1,13,15,107.90194549890865
10,34,6,1,1,11,10,98.52383972340952
9,31,8,1,0,11,12,101.14282287066094
11,35,11,1,1,14,13,106.3524286931834
10,27,4,0,0,12,16,107.1470568816292
10,31,12,0,1,12,15,109.7757351751321
7,28,11,0,0,9,14,104.71429332083856
10,31,8,1,1,6,14,108.37953940905987
6,32,8,1,1,8,9,90.88391754190285
9,27,5,1,1,10,14,99.07096191718666
6,31,5,0,0,11,13,104.2665813049904
11,32,4,0,1,13,14,106.23222489854626
10,29,12,1,1,11,13,101.56507194756357
5,28,7,0,1,13,15,105.07839783538314
10,37,10,0,1,11,9,98.4827618173607
15,29,6,0,0,7,14,107.48608508539095
7,29,10,1,1,8,13,102.13348916356152
12,30,10,1,1,11,15,108.0282227655348
6,30,6,1,1,9,13,99.70171787076085
5,32,12,0,0,14,11,99.3964133274447
10,29,2,0,1,11,16,105.5172954299308
8,33,7,1,1,9,11,102.12163749967492
6,31,7,1,1,10,14,105.89547799192988
7,30,5,0,1,9,13,101.13680984111072
8,25,3,1,1,10,15,100.86655186321708
7,29,12,1,1,8,15,109.32262369956558
7,28,13,1,0,7,10,92.95648589841824
10,27,8,0,1,13,17,112.46735105263949
7,33,7,0,0,13,9,90.57897748699304
12,32,11,0,1,7,9,92.03688820592288
6,28,9,1,0,9,14,102.91525051246386
12,30,8,1,1,13,15,104.71471212356772
5,30,6,0,1,11,15,109.221426753482
4,29,6,1,1,10,11,92.69848972388333
11,30,12,1,1,12,14,106.96017794865728
10,27,9,1,1,10,14,101.48047963530723
6,31,17,1,1,9,10,94.244131538857
17,32,5,1,1,9,15,108.37874807130102
11,30,2,1,0,12,14,102.69623661028832
9,30,11,0,1,10,12,101.65907646915105
6,32,8,0,1,13,14,107.01637093887476
9,31,6,0,0,12,11,97.86260068911908
8,32,8,0,1,8,12,103.26863529235035
7,32,10,0,1,9,13,105.14003395509336
9,26,9,1,1,7,16,107.98297632292156
9,31,5,1,0,8,10,92.77956885099373
11,29,6,1,1,9,13,102.14683948508112
11,28,7,0,1,8,13,99.61374568782604
15,32,9,0,1,14,15,109.64987588576209
5,29,8,1,1,10,13,101.24064997326514
9,26,12,0,0,8,15,104.68873423890984
13,27,1,0,1,7,15,105.38523259470952
11,26,4,1,0,9,15,106.36092600043804
11,32,11,0,0,10,10,96.69404068838332
12,28,10,1,0,10,15,105.8465139540546
12,28,9,1,1,14,17,109.31348490310616
12,33,8,0,1,7,10,96.7160491345848
9,31,7,1,1,9,13,102.48318930385402
12,31,8,0,1,12,13,102.43686508651484
10,26,5,1,1,9,13,99.4485570707322
11,29,8,1,0,8,14,103.90835360552256
14,29,9,0,1,10,14,102.94327003389148
11,33,12,0,1,15,12,100.1249788867462
9,27,5,1,0,11,15,105.08328101884165
8,30,11,0,1,10,15,109.01295668635989
10,30,10,0,0,8,12,101.93074927060852
5,29,11,1,1,9,12,101.64709228963918
7,28,4,1,0,13,15,104.63963650609922
6,30,7,1,1,8,13,102.61494587836712
9,32,11,1,1,9,11,96.4995008103833
3,31,11,1,1,11,11,99.04651889525188
4,32,12,1,1,11,13,104.56661682615668
8,26,4,1,0,9,16,105.40770607574078
14,29,6,0,1,9,15,104.43400532302874
8,30,5,1,0,14,13,102.1784920005954
11,31,1,1,1,14,14,102.03647053816698
11,27,12,0,1,12,17,109.8954993231706
7,27,3,1,1,10,16,107.79038140329833
9,30,7,1,1,11,14,101.09519238939792
11,28,11,0,0,11,16,110.97777050225616
10,31,9,1,1,11,13,101.987655330791
8,31,9,0,0,11,11,97.2671803352292
15,29,7,1,1,13,14,103.54367627165428
8,27,8,1,0,13,14,97.82392101800244
8,27,9,1,0,10,15,104.62040623903442
13,29,12,1,0,11,14,101.29210024416106
10,29,9,1,0,11,14,103.62339628155917
8,28,10,1,0,12,14,104.8976382653886
9,23,4,1,1,12,18,107.80973562692232
8,29,7,1,0,11,12,96.55785845298456
6,30,10,0,0,12,12,97.48038731125594
11,32,7,1,1,9,10,94.41365167828602
11,31,4,0,1,9,13,101.73522478446844
8,27,9,1,1,11,17,114.9874308039692
13,28,3,1,1,15,20,116.93685294698317
11,23,7,1,1,10,19,110.21300280144676
8,34,5,1,1,13,11,99.54491335600603
8,28,8,0,0,14,12,97.59379902785538
9,29,7,0,1,9,15,107.79303316463336
7,32,10,1,1,14,13,104.28658852630883
9,29,12,0,0,11,12,100.80526913846904
13,29,3,1,0,10,10,90.44566275931304
10,29,8,0,1,13,17,111.41217090580506
7,34,13,0,1,8,9,95.60640344321824
12,32,10,1,0,14,11,95.24678398667383
10,25,5,1,1,10,16,104.80316954475605
9,28,2,1,1,13,19,115.78043561944725
8,30,3,1,0,13,13,100.00794917484068
9,29,12,1,1,10,12,100.65665136362144
13,30,11,1,0,12,15,105.57723234011856
10,32,3,0,1,8,12,104.18244909760932
6,31,11,0,1,9,11,97.57061534942429
9,26,3,0,1,7,16,108.71767487368392
7,29,8,1,1,11,14,102.5229431392587
10,27,12,0,1,8,14,101.09319412714925
5,27,12,1,1,11,16,108.8124850281827
11,29,10,1,0,9,12,99.2460818864624
12,27,4,0,0,11,15,107.00143802670796
12,25,6,1,0,8,14,99.1326281569474
13,32,8,1,1,10,12,97.908116213464
11,27,9,0,1,10,16,112.08195298947275
14,27,9,0,1,10,14,102.8286211461453
7,33,6,1,1,8,11,99.28084009048048
10,27,10,0,1,8,16,109.99661452300327
14,29,8,1,0,9,16,111.78546990316282
13,35,4,0,1,9,11,102.1207152067467
6,28,8,1,1,15,19,118.04653346921798
12,32,13,1,1,15,10,92.71063663653432
4,28,8,1,1,10,13,98.45166708019032
6,31,8,1,1,6,10,94.50547184065704
9,30,4,1,1,8,12,97.23677680453385
12,27,4,0,1,13,19,115.13119017353137
14,29,10,1,0,11,14,103.38860752023665
11,30,4,1,0,12,13,104.52817937604868
6,34,10,1,0,14,14,108.66204376646152
10,28,10,1,0,10,14,103.94537952448056
12,30,8,1,1,8,14,104.6517250348512
13,32,3,0,0,10,12,98.92702747467156
7,31,5,1,1,12,15,108.24510096688483
11,32,6,1,1,10,11,97.02123824690968
9,30,8,1,1,9,11,94.608354553108
9,29,4,1,0,13,15,109.04098936818492
10,32,6,0,1,10,11,96.42279367909316
11,29,2,1,1,10,14,102.15914322842424
10,29,9,1,0,10,13,101.7533597735693
6,30,4,1,1,12,12,96.40073865032608
13,27,3,0,1,11,16,106.41881496895236
13,30,9,1,1,12,15,104.9016407479824
14,32,8,0,1,12,15,111.84527951130714
12,28,8,1,0,10,14,100.63258992965768
14,29,9,1,1,11,15,108.47653684629148
9,28,9,1,1,9,12,95.75288327189976
12,26,8,1,1,11,16,107.47283527619476
12,28,0,1,1,10,14,101.84858824387896
11,31,12,1,1,14,16,111.05708490775716
14,30,5,1,1,8,16,113.62714183303028
11,27,5,0,1,11,17,110.1929262977936
10,30,4,0,1,12,14,104.41819061296678
9,29,9,1,0,11,16,112.94360180977284
10,29,5,1,0,8,11,96.76343330359596
14,33,8,1,0,12,12,102.17388879853648
8,32,6,1,1,11,11,94.965115532068
9,31,10,1,0,12,10,93.73009075565074
6,33,10,1,1,13,13,106.49812663245092
9,29,14,0,1,8,15,109.12920235446774
7,33,5,0,1,13,13,104.66718332147744
16,35,7,0,1,8,8,93.81798340062323
10,33,4,1,1,11,13,105.42912682918906
6,27,9,1,0,9,13,98.7631231616118
5,30,10,0,0,11,10,92.00633494562037
10,28,4,0,1,10,16,109.49280369376736
12,25,8,0,1,13,20,116.12612183520667
9,32,10,1,1,11,15,110.55203370094505
9,25,4,1,1,10,16,103.31106738386372
12,30,11,1,1,10,17,115.04202721241452
11,33,5,0,1,14,14,105.45915790177872
11,28,3,0,1,8,15,103.54849095942922
5,29,7,1,1,11,12,98.36444071899842
12,32,3,1,1,10,11,98.31265156356017
9,31,4,0,1,13,11,94.19807153428152
11,27,9,1,1,9,14,101.38243884061728
8,28,4,0,0,10,16,107.6328026096512
10,29,7,0,0,8,11,98.6119343761158
10,33,8,1,1,6,10,96.03763825608868
10,28,10,1,1,12,16,105.58359376032728
12,29,11,0,1,8,15,108.49791589197628
14,26,8,1,0,10,14,102.4972376556081
7,31,5,1,1,13,13,100.34439775582176
9,32,7,1,0,6,11,101.44881818092244
9,22,6,0,1,10,19,112.3194924536806
12,30,12,0,0,12,14,106.7468117436774
11,27,11,1,0,10,15,104.23645084597442
7,29,5,1,1,10,15,105.51091872349488
12,30,6,1,1,14,17,114.55886602864594
3,29,3,0,1,10,13,101.7179113942024
13,27,8,0,1,8,16,108.28793941918065
4,30,3,0,0,10,12,99.74315294843944
12,36,5,0,1,10,10,100.11339011628556
9,33,10,0,1,11,13,104.28121046179788
10,29,7,1,1,9,14,103.76448446775372
6,28,13,0,0,9,12,96.53352466729989
8,33,14,0,1,10,9,92.5194802429189
9,31,14,0,1,12,13,101.66170238752088
11,27,7,0,1,7,15,105.95038290085978
10,28,8,1,1,11,16,108.70385290889756
8,34,9,1,1,8,9,93.50543730843658
11,33,9,0,1,9,10,97.9637324509604
9,28,8,1,1,14,16,107.99190616187748
9,29,13,1,1,13,16,110.05214160854032
14,30,4,0,1,13,14,103.44465016723824
2,32,4,1,0,11,13,104.7170126140319
3,33,4,0,0,8,9,96.31128133771745
9,28,10,0,0,8,14,102.92485398862952
8,28,5,1,1,14,17,110.371842386713
11,29,7,1,1,12,15,106.09782927141003
10,32,5,0,1,10,12,99.43422321732923
8,28,14,1,0,8,14,106.5908152040328
12,25,10,0,0,11,17,107.90695492366058
13,28,11,0,1,8,13,98.9585752038196
8,29,8,1,1,11,12,98.13976786625612
7,30,9,1,1,9,13,102.39479110313172
13,33,10,1,1,10,12,102.27343032202836
8,29,13,1,1,12,15,107.75498098508056
9,29,7,1,0,8,15,109.0879155139694
10,27,4,1,1,11,15,102.32146243269288
11,26,12,1,0,12,16,105.92989154695896
6,30,7,1,1,7,11,98.21570012647126
10,30,11,1,1,10,12,99.69108232434344
10,31,8,1,1,8,10,95.1872855486773
14,32,8,1,1,9,12,98.61122913751817
7,26,8,1,1,10,15,103.96037756506938
7,31,10,1,1,10,11,98.1461439781778
4,28,10,0,0,12,13,101.34008415120574
10,31,5,1,1,13,11,93.62202154812134
8,32,8,1,1,11,10,95.17791746985726
12,29,6,0,1,9,10,90.38954801368448
8,29,11,1,0,9,12,98.5851911998089
8,32,8,0,1,10,12,102.0372551133896
11,28,5,1,0,14,14,102.29726789082534
10,28,3,1,0,10,13,99.82455024555792
12,28,7,0,1,11,15,105.69035676777324
14,28,12,0,1,9,14,105.12137050237978
9,24,3,1,0,10,18,110.82452339819426
12,31,4,1,0,10,12,98.38906176604767
8,29,8,0,0,12,13,104.15250467605446
10,29,2,1,0,13,15,105.90904667334404
10,30,7,1,1,15,18,115.32053854656394
8,26,14,1,1,13,19,116.52749651184112
11,30,5,1,1,7,10,94.42571134139725
9,30,5,1,0,11,13,102.5958062245063
8,30,11,1,1,10,13,103.030332967642
6,29,3,0,1,12,14,100.4979057954392
10,28,11,0,1,14,16,107.9475337004248
9,30,10,0,1,12,14,101.77027983228048
9,30,2,1,0,10,14,105.38172125193792
8,29,6,1,0,10,14,104.61950343031606
11,30,9,1,1,10,12,96.55890377796406
7,31,10,1,1,14,17,115.39199764511784
12,31,11,1,1,10,14,107.73752350295908
6,27,5,1,1,9,14,102.2826558840904
14,29,0,1,1,9,15,103.0544135051352
8,32,7,0,1,12,11,96.03948904758823
12,32,12,0,1,13,12,101.52514033001889
10,34,1,1,1,11,11,99.61716125648928
8,32,7,1,1,14,14,103.43112622357556
11,30,10,0,0,12,16,111.63894542012004
9,32,10,1,1,9,12,103.2278316145431
12,29,4,1,1,15,16,109.52284365770434
13,29,12,1,1,12,15,106.90180426174204
12,32,5,0,1,9,11,98.11768441156882
9,30,8,0,1,11,15,107.30728562568474
13,23,8,1,1,7,17,109.33376538516436
13,35,6,1,0,12,12,106.73166981436025
7,33,8,1,1,11,13,103.75721668806422
11,28,4,1,0,9,18,115.02923952684463
15,30,3,0,0,8,11,97.01980669417456
10,30,6,1,0,10,11,95.71398093318966
10,29,7,0,0,11,15,106.9881631814894
9,28,8,0,1,11,15,104.36608153140196
7,34,12,1,1,10,9,95.88796410346482
7,26,11,0,1,14,16,105.8215201495272
9,27,2,1,0,10,14,99.01948201854717
7,29,9,1,1,13,16,110.44021024816972
8,30,7,1,1,10,14,105.36150690626776
12,27,3,1,0,12,15,103.6592390398414
8,27,2,0,1,11,15,104.79826631726486
9,27,8,1,0,13,15,103.83345907713296
11,28,12,0,0,8,16,109.51412422015444
8,29,7,1,0,9,14,105.01164110142253
6,28,7,1,1,14,17,111.8580164848364
9,31,10,0,1,11,13,102.22700503969207
10,27,6,1,0,13,15,102.82269157211768
6,30,4,0,0,9,10,91.46651628965556
11,29,11,1,0,8,11,95.68933408960828
7,31,9,0,1,11,14,105.81168264373343
5,28,11,1,0,13,16,110.6181400443998
7,28,8,0,1,10,15,105.49086250561515
10,28,10,1,1,10,14,102.28644365311682
8,25,5,0,0,13,18,109.02610008250102
9,25,6,0,1,9,17,106.30074452785011
9,33,9,1,0,8,8,90.16442595782068
8,31,4,0,0,9,11,99.08382773490676
7,26,11,0,0,10,15,103.52112043229576
13,30,8,0,1,13,14,104.21744247403618
8,29,11,1,1,12,12,98.64632180172003
8,31,8,1,1,10,8,85.04692469249576
10,27,4,0,1,9,16,108.3547910506376
12,33,9,1,0,7,9,93.62949082161572
10,24,8,0,1,13,21,116.9622806461086
14,32,7,0,0,9,11,96.33055465134504
12,32,13,1,0,13,13,105.50612839779691
9,31,7,1,1,8,10,94.51620798506698
15,29,10,1,1,12,16,108.79529582161364
11,27,9,1,0,5,13,99.38086476210655
9,31,1,0,1,15,17,112.85363462111049
12,31,5,1,1,13,13,101.09655080510286
13,33,2,0,1,12,15,109.24672231129608
9,29,9,0,1,9,14,104.35159923413394
15,27,12,1,0,9,15,104.0144625375184
8,30,6,0,1,13,15,107.1549322600144
3,28,7,1,1,9,14,100.98077396163822
11,28,10,1,1,9,14,101.41062799607118
11,29,7,0,1,7,13,103.43382081714653
12,31,6,1,0,11,13,101.18517363769342
8,31,4,1,0,12,14,104.27840593716311
12,31,9,0,0,8,13,104.63789392997384
12,32,9,1,1,10,14,106.33226504670031
9,32,9,1,1,7,7,86.98311781495612
4,26,0,0,1,11,17,108.6252779612965
10,29,10,1,1,16,16,108.4535595807847
8,29,6,1,1,8,13,101.27083452372368
12,30,8,0,0,12,13,105.43127716078062
9,32,6,1,0,11,11,98.99539692687556
9,31,6,0,0,10,14,107.9419938206686
9,31,4,1,1,5,8,89.19631004971122
7,30,7,0,1,7,10,91.29112639417264
5,30,6,0,0,11,13,99.25745087411782
12,32,3,1,1,9,12,99.51235612921975
11,35,4,1,1,11,9,93.42585164322666
4,28,9,0,0,11,15,104.86814798122673
10,32,5,0,0,12,13,105.76889665136608
4,30,0,1,1,10,13,100.56515396307636
9,32,11,0,1,11,14,107.75324310202448
12,26,12,1,0,14,18,113.06759506043927
10,36,9,0,1,11,9,94.8620874916432
12,30,16,1,1,9,14,105.4721024421197
12,28,8,0,0,11,17,109.44676324251236
12,33,8,1,1,10,12,101.56486592250766
10,31,9,1,1,12,11,96.3898526651742
8,29,7,1,0,11,13,103.08338302323853
12,33,8,1,1,13,14,106.1898447784303
11,26,9,0,0,8,16,110.61558617462306
12,30,8,1,0,11,13,102.45193546150558
5,30,15,1,0,11,11,98.9110073452845
8,31,8,1,1,10,13,103.69639208957332
14,30,5,1,1,14,15,106.42657905983992
10,31,5,1,0,12,11,99.05315667312288
10,30,15,0,1,9,16,112.388063463795
9,27,7,1,1,10,14,102.75322543520468
8,33,5,0,1,11,13,105.02103438540624
10,34,8,1,1,9,11,102.68977037921432
10,31,8,1,1,10,12,98.85134196841167
4,28,8,0,1,9,13,101.30432068290274
12,32,9,1,1,11,12,100.6895660938386
8,30,2,1,0,7,12,98.97670381182914
3,32,6,1,1,8,8,89.47274337146428
8,30,11,0,1,9,13,102.10336095508404
7,32,9,1,0,6,9,92.78498176425904
9,29,5,1,0,11,15,107.3930535034796
9,29,5,1,0,8,13,102.17680934594848
7,25,9,1,1,10,19,113.96127417511477
5,28,6,0,0,15,15,104.17982549837168
6,30,6,0,1,12,13,100.53128561522874
4,29,11,1,0,11,14,104.79714738045595
8,30,13,0,1,14,15,107.5944340340096
3,29,7,0,1,10,13,99.72423073053834
10,29,15,1,1,11,15,106.81088111487496
9,34,11,1,1,9,8,93.6886741643768
13,22,13,0,1,12,20,113.69420007172556
13,29,10,1,0,8,11,95.98839380238635
11,31,6,1,0,9,11,98.49524819099854
5,30,5,1,0,9,13,103.6556452042172
12,25,5,1,1,10,17,107.8276747557187
12,31,7,0,1,12,15,108.1215377488272
9,37,5,1,1,13,10,100.0098067228053
9,29,9,1,1,10,14,102.06069571502688
13,32,6,1,1,12,15,109.31726598906688
11,27,14,1,0,8,11,94.62690291357076
8,27,5,1,0,8,15,106.35141667234384
10,27,9,1,0,10,14,101.4900331268746
8,29,9,0,1,9,14,104.12736739632815
3,30,6,1,1,11,10,95.33013854744496
10,29,6,1,1,11,12,97.43750009312014
9,28,13,0,1,10,14,102.4897751724416
12,29,6,1,1,14,14,106.17475431799716
15,24,6,0,1,11,20,115.475580706111
7,29,11,1,0,10,13,102.1974798863246
10,31,4,1,1,12,12,98.02933612397696
12,30,4,1,1,11,12,94.76765729637506
11,27,7,0,1,13,18,112.74939702112124
12,31,3,1,0,12,12,98.5970327448229
6,29,5,0,1,11,15,106.74063498537107
11,29,5,1,1,12,17,112.1508056105127
15,29,8,1,0,11,14,103.54422647842412
5,28,9,0,1,6,13,100.69341138011428
8,24,14,1,1,9,15,103.3027380743018
8,28,5,0,0,10,14,102.26819888642166
14,32,7,0,0,10,9,91.52600401987536
5,30,4,1,1,11,11,95.79909202405752
13,33,4,1,0,11,9,89.28355035547932
6,32,9,1,1,10,10,95.86597666956013
9,30,4,0,1,11,16,112.70488840101106
13,26,7,1,1,10,18,111.58692836332092
13,29,8,1,1,11,15,107.31766462457476
3,29,5,0,1,12,15,104.74174098413565
9,33,11,1,1,10,11,100.10481469328066
13,25,6,0,1,8,16,107.87353386757138
3,31,10,0,0,10,12,104.16050409491456
9,33,12,0,1,8,12,103.57805036279584
9,28,12,1,1,9,15,107.93108983802097
6,29,9,1,1,10,13,100.59574446828282
12,28,8,1,0,10,16,110.99578697004966
11,27,4,1,1,9,17,110.97919363671475
8,24,16,0,1,10,17,108.79637616011486
10,25,6,0,0,12,16,104.93916808780102
10,29,9,0,1,10,12,96.7906775272656
11,27,12,1,0,13,15,104.53305664617947
6,32,3,0,0,12,11,97.41653424031912
6,33,13,1,1,13,12,104.21496383392594
7,32,6,1,1,8,8,89.41774782585254
11,31,8,1,1,12,10,91.80679217653945
11,25,7,0,0,11,16,104.37820513271168
7,28,10,0,1,9,13,101.86331767469206
5,35,2,0,1,9,11,103.53805094399522
8,30,10,1,1,13,17,113.8488090426545
12,29,9,1,0,11,13,103.13687070302062
3,30,8,1,1,13,12,98.4411331605022
11,31,9,1,1,12,13,101.96524372633422
15,32,10,1,0,11,13,106.52641815514052
13,34,9,1,1,9,10,98.27508078800936
2,30,7,1,0,12,12,98.07509741070736
8,31,13,1,1,12,11,96.60228977759648
4,34,12,0,0,12,13,107.25938241323594
10,28,8,1,0,7,13,102.05643490385928
9,32,9,1,1,14,14,102.4783123812436
7,31,7,0,0,12,11,95.9668666987222
6,29,4,1,0,9,11,93.6062399121869
10,29,10,1,1,8,14,104.58739771708343
7,31,6,1,1,10,12,102.90270255516654
6,34,8,1,1,10,10,96.25195566216284
13,32,8,1,1,12,14,105.86992580634433
9,32,10,1,1,11,12,102.55460139291112
7,32,6,0,0,14,13,104.38844053603992
8,30,3,1,0,10,11,98.42315837362014
14,29,2,1,1,9,15,105.9845882246092
7,32,11,1,0,12,9,92.60485934852724
8,28,10,0,0,9,11,94.89366945622471
13,30,11,1,1,9,14,105.56985215347784
10,33,10,1,0,10,11,100.56109735382378
16,30,9,1,1,14,16,107.98461998426552
10,31,11,0,1,11,12,104.07769522568591
11,28,8,1,0,8,12,97.07166902697011
6,30,3,1,1,13,15,108.36321247097112
7,23,11,1,1,9,18,106.73980726323924
11,33,5,1,0,13,13,103.3152538457626
7,30,5,1,1,13,14,102.0718188054932
6,31,5,0,1,9,13,101.52081522432684
