age,education_years,income_level,number_of_dependents,rent_or_own,urban_or_rural,employment_status,received_subsidy,policy_intervention,housing_stability
16,26,7,17,1,1,0,1,1,107.30335177719208
18,31,9,19,2,1,0,1,1,117.8405806550319
17,25,5,9,1,1,0,1,1,100.00750307616131
26,26,5,8,2,0,1,1,1,108.68992480690304
4,23,4,21,2,1,1,1,1,99.87657881089356
24,26,9,15,3,0,0,0,1,113.79737045261096
5,27,3,17,3,0,1,0,1,95.43971977957088
22,26,4,18,2,0,1,0,1,111.996845210464
36,24,4,10,1,0,1,0,1,115.78455112985148
38,24,8,12,1,0,0,0,1,120.36938544531372
6,22,8,7,3,0,1,1,0,82.36313508997738
21,22,5,19,0,0,0,0,0,99.43158384484542
35,24,7,24,2,0,0,1,1,129.07460867898084
19,22,1,18,0,1,1,0,1,103.92998636139184
36,27,6,9,0,0,0,0,1,115.2811155705636
14,25,0,14,3,0,0,0,0,93.03443636907691
24,15,4,6,0,0,0,1,0,87.91691118519374
29,20,6,12,4,0,0,0,0,102.51234406305164
26,27,6,9,0,0,1,0,1,108.31783577488603
15,31,8,20,2,1,0,0,0,105.67005769929736
49,16,8,16,1,0,0,1,0,119.52730606893942
24,22,3,21,1,1,1,1,1,113.3716745237066
17,24,6,12,0,0,0,1,1,100.41473257148294
33,26,5,11,2,0,1,1,1,116.16724177037048
18,28,4,14,1,0,1,1,1,107.31226320909724
17,25,9,15,3,1,0,0,1,107.46872949707858
37,18,6,19,1,0,0,0,0,112.90366414865709
16,26,5,24,1,0,0,0,1,111.6268102386068
25,31,8,13,2,0,1,0,1,115.0571234071378
40,22,8,21,1,1,0,0,0,120.89225210574376
20,29,6,15,1,0,1,0,1,109.68220534058
17,22,0,15,0,1,0,1,0,92.553013888505
27,26,5,25,2,0,1,0,0,113.67464944694127
48,30,3,22,3,0,0,0,1,139.95681173042985
19,23,3,9,1,1,0,0,0,90.61929215604968
12,30,5,17,3,1,1,0,1,104.89865816778018
29,19,6,14,3,0,0,0,0,103.5553907599962
37,30,7,4,2,0,1,0,0,105.36374847652536
23,22,6,20,2,0,1,1,1,112.350054234503
20,24,5,17,2,1,0,1,0,101.68176887010966
13,24,5,11,1,1,0,0,1,96.64157798159178
15,27,2,13,0,0,1,1,0,91.16691883764204
23,27,7,14,2,0,0,0,0,102.1741349836954
22,20,11,17,3,1,0,1,1,111.81454790390715
27,23,8,18,1,0,0,1,0,109.1238631677888
23,27,5,15,1,0,0,1,0,103.09022723136844
29,24,8,23,1,0,1,1,0,115.00612428635884
33,20,6,13,1,0,1,1,0,106.32607991388534
20,18,11,23,2,0,1,1,0,107.07637177417725
9,18,8,11,2,1,0,1,0,86.42044439935303
34,23,3,14,2,0,1,0,1,116.4943299026953
32,18,3,21,1,1,0,0,0,108.05716650752896
28,21,0,16,2,0,0,0,1,109.78913711634596
20,20,8,7,2,0,0,1,0,91.9115838082979
30,24,5,16,1,1,0,0,1,114.28696471492984
30,20,0,19,1,1,0,1,0,107.4444252487018
31,24,9,18,0,0,0,0,1,119.19231756854384
32,26,4,20,0,1,1,0,0,113.36301139513812
19,26,7,16,0,1,1,0,0,98.18714223782676
23,25,7,18,1,1,1,0,0,104.89782904371653
28,8,4,17,0,0,0,1,0,96.8664755590721
28,23,6,22,1,0,0,1,1,118.5769036965772
33,19,5,16,1,0,1,1,1,114.88539684267364
4,25,2,14,2,0,0,0,0,82.94258835216054
27,20,4,24,2,1,0,1,0,110.00203219035046
10,19,6,10,2,0,1,1,1,90.59959907092886
35,32,8,11,2,1,0,0,1,122.19391016893432
17,28,5,17,3,0,1,0,1,108.0496690854038
9,26,1,17,0,1,1,1,0,90.45391121305754
2,29,5,16,1,1,0,1,1,96.71415677206024
39,25,4,12,1,0,0,0,0,111.7710158948337
28,27,4,13,2,1,1,0,0,105.9408437425032
26,18,5,5,3,0,0,0,0,91.72172619400648
29,28,6,22,2,0,0,0,1,122.41714678790048
39,17,4,17,0,0,0,1,1,118.93321692908818
23,22,4,20,1,1,0,1,1,111.04252773695426
38,21,2,19,2,0,0,1,0,113.64498997216177
42,25,5,13,1,0,1,0,1,122.19717293779912
17,12,4,19,0,1,1,0,0,89.33584318229776
25,21,2,18,1,1,0,1,0,101.57553884520662
5,25,9,27,2,1,1,1,0,99.89536114177746
19,26,6,19,2,1,0,0,1,111.17897532309196
19,25,6,15,2,0,0,1,1,107.77871809564208
22,18,8,21,4,0,0,1,1,113.27980219800185
28,26,6,12,2,0,1,1,0,104.7282081659141
22,23,1,11,1,0,1,0,1,100.90288039106488
21,25,4,17,1,1,0,1,0,102.95105836763688
21,27,3,21,4,1,0,1,0,110.06185045618206
40,22,4,11,2,1,1,0,1,118.81434961822296
19,17,10,12,1,0,1,0,0,91.54148672941228
25,20,7,12,3,1,0,0,1,106.88648103479149
0,22,6,7,0,0,0,0,0,71.54839038259969
28,24,6,15,1,0,0,1,1,112.84130398017452
35,19,8,19,1,0,1,0,1,121.15274738829784
28,18,8,14,1,0,0,1,0,102.42021630978614
19,26,4,11,4,1,0,0,0,98.00591887806712
29,23,7,12,2,0,1,0,0,103.8384148398975
22,25,4,21,1,1,1,0,1,113.11092283465167
34,28,5,24,1,0,1,0,0,122.37506411327784
31,20,8,19,3,0,1,1,0,113.58152025437056
27,20,5,16,-1,1,1,1,0,103.21536009707803
21,22,4,14,2,1,1,0,1,104.97954499225722
18,25,5,12,2,1,0,0,0,94.6843210612777
30,26,8,14,2,0,0,1,0,110.48470458721503
24,22,6,16,1,0,1,1,0,102.46597099856844
23,23,7,11,2,0,1,1,1,106.57903887404514
17,28,0,23,1,0,1,0,0,104.160210795649
4,25,8,11,2,0,1,0,0,84.05964561082016
21,23,3,11,1,1,0,0,0,94.58870948650612
10,27,7,19,0,1,0,0,0,97.39329974826734
25,19,4,21,1,0,0,0,1,111.330500677112
17,25,6,21,2,1,0,0,1,108.72897453793573
37,24,6,12,1,0,0,1,1,120.26099014738644
24,24,5,17,2,1,0,1,1,112.3509381823269
26,34,8,22,2,1,1,0,1,128.94557722045556
30,21,5,14,1,1,0,0,1,110.75173226664803
8,25,7,13,1,0,0,1,1,95.03658275088353
29,31,2,15,1,0,1,0,1,118.10027309098518
18,23,7,18,2,1,0,0,0,99.23632028187431
20,20,7,13,1,1,1,1,0,96.2955878177196
25,27,7,14,2,0,1,0,0,103.58880700886166
34,26,5,13,1,0,0,0,0,110.38887759452852
12,27,6,15,2,0,1,0,0,95.41457827366368
19,20,4,18,1,0,0,0,0,95.44050721533924
20,22,6,24,3,0,1,1,1,114.48802327153288
14,21,4,13,0,1,0,0,0,87.46070931575865
2,25,2,9,3,0,1,0,0,77.00954666414482
32,25,6,14,1,1,1,0,0,110.05478830600876
15,20,7,22,2,0,0,0,1,105.8639991772195
29,24,9,12,1,0,0,0,0,106.2858337383864
38,28,8,21,1,0,0,1,0,124.11729882088024
33,23,4,15,2,1,1,1,0,110.7393349115022
19,25,7,19,1,0,0,0,0,102.5564999798088
40,20,6,15,0,0,1,1,0,113.13292534957586
16,31,6,19,2,1,1,1,0,105.68732226042262
17,24,8,15,2,0,1,0,1,106.11942101576552
27,19,6,14,3,0,0,0,0,103.72775917577938
19,18,5,22,2,1,1,0,1,108.00941438373016
26,29,5,21,3,0,1,0,0,112.89184069777406
26,14,7,20,0,1,1,0,1,110.958573581387
38,24,4,15,2,0,0,0,0,113.27070977703376
42,27,0,22,0,0,1,1,0,123.12348647480536
18,17,4,21,2,0,0,1,0,98.5947950364468
22,26,9,18,2,0,1,0,0,107.87112279752942
17,14,2,12,1,0,1,0,1,93.27491629175998
25,26,5,18,2,0,0,1,0,106.07121610143784
15,31,7,14,1,1,1,0,1,105.98604534704684
31,24,7,14,1,1,0,1,1,117.66477822106847
27,26,6,9,2,0,1,1,1,110.25649298686356
13,23,7,18,1,0,0,0,1,102.5292371349291
23,26,3,11,2,0,1,0,1,104.66176891577196
26,21,8,16,3,0,0,1,0,104.8965847795258
35,22,9,16,0,1,0,0,1,120.4902468280685
20,13,7,16,1,0,0,1,1,99.69255806024056
30,23,1,20,1,0,1,1,1,117.24552266280271
6,24,7,19,2,0,0,1,0,91.58866348683216
2,22,6,21,3,0,0,1,1,97.63753179101022
39,20,5,20,0,0,1,1,0,117.43894793857667
26,20,8,18,1,0,0,0,0,104.45276541926322
25,26,5,21,0,1,1,0,1,116.85845319400836
19,30,13,9,2,0,1,0,1,107.9261950460698
30,22,9,14,1,0,1,1,0,106.93890884828672
28,26,8,16,0,0,1,0,0,108.02741078619044
32,15,5,10,2,0,1,1,1,107.89881967708298
29,19,3,3,2,0,0,0,0,91.61635906416493
32,23,7,14,2,1,0,1,0,110.31800621219617
9,27,3,10,2,0,1,1,1,95.28914399364142
33,17,7,22,2,1,0,0,0,112.9050484152199
27,20,9,14,1,0,0,0,1,107.98001216491672
18,26,-1,13,0,0,0,0,1,99.65034435460925
32,30,3,21,1,1,1,0,0,120.53290877106872
27,17,4,21,0,1,0,0,1,109.59602629970573
23,19,8,11,3,1,1,0,1,106.34059618269217
27,26,1,19,1,0,0,1,0,107.0551100552203
26,27,7,22,2,0,1,0,0,113.7589368547614
26,22,9,16,2,1,0,0,1,112.0865956430766
32,20,1,17,0,1,0,1,1,113.51208779507036
17,20,5,11,2,0,1,1,1,98.39073225758456
15,23,8,18,1,0,1,0,0,97.88860843306396
24,28,6,13,3,1,1,1,1,114.63348071085996
39,21,6,14,2,0,0,0,1,120.35833270829764
0,23,6,13,0,0,1,0,1,85.16615799453817
25,16,10,26,1,1,1,1,1,118.05422306293256
25,22,8,20,1,0,0,1,0,107.23943989225424
25,24,1,22,2,0,0,0,1,113.30480400004458
21,21,7,16,3,0,0,1,1,106.49227628717676
31,26,8,20,1,1,0,0,1,123.75965930313691
22,23,2,24,0,0,1,0,1,112.86495116020144
40,26,5,23,1,0,1,0,0,124.02850273754753
35,29,9,17,3,1,1,0,0,119.66277106916516
19,20,7,10,1,0,1,1,0,91.62744969297631
29,20,9,15,1,0,1,1,0,106.02106062968006
15,20,6,11,2,1,1,1,1,97.7358175512879
50,24,3,17,0,1,0,0,1,132.24322490557986
23,25,4,21,1,0,0,1,0,107.41238186726716
31,24,6,21,2,0,0,0,0,111.88745799615845
22,26,4,19,1,0,0,0,1,111.32199159060993
21,24,5,17,1,0,0,0,1,109.35493023481094
29,28,8,16,0,0,0,0,1,118.99776477231856
33,19,4,12,1,1,0,0,1,110.7225602575021
26,23,2,10,1,0,0,1,0,96.57698582697442
25,27,5,13,2,0,1,0,0,104.4988038579661
28,23,10,21,1,0,1,0,0,112.27784480957791
37,28,5,11,2,0,1,0,0,110.50048363359066
22,24,9,10,2,0,1,0,0,98.82240669661714
21,24,6,10,2,0,1,1,0,95.05502714303688
37,23,2,3,0,1,1,0,1,106.43111886020291
33,27,6,10,0,0,0,0,0,107.0030051249535
15,27,7,21,1,1,0,0,0,104.27290568693964
27,20,9,15,1,0,1,0,0,103.29530098559697
36,28,7,12,3,0,0,0,1,120.18443513055344
13,26,5,16,1,0,0,0,0,94.67160211262777
42,19,5,14,0,0,1,1,1,120.80874536595384
31,19,6,20,3,1,1,0,0,111.46686559780504
12,22,9,18,3,1,0,1,0,96.4575781324633
21,24,9,20,2,0,0,0,0,106.94995096692487
21,24,6,19,2,1,0,0,0,103.62629484155356
6,25,6,23,1,0,0,0,1,100.61605453415469
20,29,5,14,2,0,1,1,1,110.83145269822158
27,23,8,9,0,1,0,1,1,106.66568090053906
28,24,3,17,1,1,1,1,0,107.11298519114878
12,23,5,7,2,1,0,0,1,92.3050333077158
36,20,5,19,1,0,0,0,0,112.87294103434208
18,21,7,23,1,0,1,0,0,101.55828048438732
14,22,5,12,3,0,1,0,1,99.4558330458064
8,21,3,9,2,1,0,1,1,87.669074461491
18,22,7,10,2,0,1,1,0,93.69800742756664
35,23,9,15,2,0,1,1,1,122.00746739775758
16,13,8,21,4,0,0,0,0,93.35583999773112
28,25,7,17,1,0,0,0,1,114.38032144068664
17,26,4,18,1,0,0,1,0,99.48637704147974
42,21,4,13,1,1,1,1,0,113.18564475113055
32,28,6,10,0,1,0,0,1,114.45197042668448
29,19,3,15,1,1,0,0,0,100.17032095383324
19,20,6,9,3,0,0,1,1,99.09576755104852
24,32,5,16,1,1,0,0,1,115.7613485148526
38,25,7,11,1,1,1,1,1,120.98775908021273
15,21,8,14,1,0,1,1,1,101.55435160522812
24,23,7,18,2,1,0,0,0,105.53447160280416
37,22,9,9,1,1,0,1,0,110.68415746646096
23,26,8,17,2,0,1,1,1,113.21929595987366
37,20,2,12,1,1,0,1,0,107.31255029589332
31,26,4,10,2,0,1,0,1,113.15484787816544
22,22,7,17,1,0,1,1,1,110.355962904555
36,22,6,17,2,1,1,0,1,121.23800579049028
30,25,7,21,1,1,0,0,1,121.57613617284264
17,25,6,17,2,0,0,0,0,98.52824985991217
19,24,6,22,0,1,0,0,1,112.26404174976255
37,25,2,16,1,0,0,0,0,111.68374582400716
30,28,8,12,1,0,0,0,1,117.46734761236549
53,24,7,24,1,0,0,1,0,136.8237873921116
15,17,8,21,3,1,0,0,1,105.162322613905
10,24,2,15,0,0,0,1,0,87.09033846704077
7,24,4,19,3,1,0,1,1,99.94946404881976
17,27,5,14,0,0,0,1,0,96.34044330458386
38,29,9,19,1,1,0,1,0,122.63675314004762
21,23,5,11,1,1,0,1,1,103.22518367921512
18,24,1,21,2,1,1,0,0,100.25420371944872
5,20,9,20,3,0,1,1,1,98.17621793751388
24,19,3,22,2,0,1,0,0,103.7360739692895
14,18,8,13,2,0,0,0,0,87.80737658103477
25,23,6,15,1,0,1,0,0,103.2455409010008
6,20,2,11,0,0,1,0,0,77.53911327966956
25,20,6,17,3,0,1,0,1,110.28369897293568
17,26,5,26,1,1,1,1,0,108.79934470671417
24,30,4,15,0,0,1,1,1,112.16234230602284
22,20,1,9,2,1,0,0,0,91.31565928813087
19,26,3,11,3,0,0,1,1,102.5593301000146
24,31,4,22,2,1,0,1,1,122.7524264807144
37,24,5,15,2,1,0,0,0,114.78076895516789
34,20,2,13,2,1,1,0,0,104.24556093890529
34,29,4,33,1,0,1,0,0,131.2076509317209
30,17,0,19,2,0,1,1,0,105.1897499289528
35,26,8,14,2,1,1,1,1,124.59623288423272
25,28,4,19,3,0,1,1,1,116.64546930322798
4,16,3,12,1,0,0,1,0,75.5700751329748
24,28,6,17,0,0,0,0,0,105.68305695217155
29,26,9,16,1,0,1,0,1,119.31722898164908
24,25,2,18,2,1,1,1,0,105.001905335011
50,21,4,23,2,1,1,0,1,136.46076056033638
30,24,9,16,1,0,0,1,0,112.31402556143532
22,28,6,12,0,0,0,1,0,100.953224502268
43,21,5,14,1,0,1,0,0,114.6085273360784
34,26,5,17,2,1,1,0,1,122.60157735804133
34,26,4,10,0,0,0,1,0,106.23098996623216
11,27,9,16,2,0,1,0,0,98.49390262817234
28,25,6,19,1,1,0,0,1,116.83727358546942
34,19,10,11,3,1,1,0,1,113.53706923480983
14,28,4,11,0,1,0,1,0,92.4529583382808
40,17,5,17,1,0,1,1,0,113.65668171015
34,25,10,16,2,0,0,0,0,115.3519171751835
33,22,8,22,2,0,0,1,1,124.52185270327315
33,20,6,17,1,1,1,1,1,117.0706666399042
13,26,6,5,2,0,1,0,1,95.67181334746584
10,30,4,17,2,1,0,0,0,96.52052600508246
27,22,3,20,1,1,1,1,0,107.19524061958032
27,21,3,15,0,1,0,0,0,100.88368134465676
22,21,6,14,2,1,1,0,0,99.81923967442049
16,24,5,15,3,0,1,0,1,103.25753516767814
16,24,5,17,2,1,1,1,0,98.0434370396112
21,15,9,10,3,1,0,0,1,97.43086162719143
32,14,7,10,2,0,1,0,1,107.59393715370877
39,25,5,12,2,0,0,0,1,121.5392058377176
31,23,6,13,2,1,0,0,1,115.27887485310524
19,24,4,17,3,0,1,0,0,98.23901612582692
29,29,8,16,1,1,0,1,1,118.31472856798166
42,25,9,17,1,0,1,1,0,123.28889733790948
24,24,5,21,0,0,1,1,0,106.04663440674716
20,24,6,16,2,0,0,0,1,106.32677282219
19,30,5,14,1,0,0,0,0,99.80652048820724
19,25,3,18,3,0,1,0,0,101.51740962073836
45,20,6,17,1,0,1,0,0,119.49995393097564
37,28,8,17,1,1,1,0,1,127.75553726916225
20,28,2,12,1,0,1,1,0,96.56736628716958
24,23,8,18,1,1,0,0,0,106.28827395864928
15,23,5,17,1,0,0,0,1,102.98465328364976
29,25,5,7,3,1,0,0,0,99.71626441401956
47,13,7,19,4,0,0,1,0,120.03515663683052
27,26,9,18,3,1,1,1,1,121.34131588310656
28,19,7,13,0,0,1,0,0,100.97914116950032
11,22,4,20,0,1,1,0,1,99.01094479528744
14,21,9,18,2,0,0,0,1,103.62469210033235
0,26,5,16,2,1,1,0,0,83.6618868024871
36,24,5,21,3,0,1,0,1,124.84855340194191
15,15,4,22,2,0,1,0,1,101.99687671670203
23,23,5,20,3,0,1,0,0,106.4721168098385
29,28,7,15,2,0,0,0,0,111.50004823920209
26,22,9,19,2,0,1,0,1,115.42473372348113
7,22,1,15,1,0,1,1,0,83.58282120839306
24,27,3,19,2,1,0,1,1,113.23526056024136
23,21,9,20,3,1,0,1,1,115.05571631385412
15,21,7,13,2,0,0,0,1,99.00518725956196
29,23,6,20,4,0,1,1,0,113.52920749518552
23,21,4,16,1,0,0,1,0,97.99022579043462
33,24,7,19,2,0,1,0,0,115.59390496176138
19,21,3,20,2,0,1,0,1,108.18377882066864
17,23,8,19,2,0,1,1,0,101.454083053226
30,26,6,21,0,0,0,0,1,121.97472602485338
28,22,4,21,2,1,0,1,0,108.86900669217312
32,28,2,10,1,1,0,1,0,104.91878450422068
41,21,6,21,2,1,1,1,1,130.10549413237894
24,30,12,5,2,0,0,1,1,108.20764213655102
37,19,5,19,4,0,1,0,0,115.190359106831
21,22,8,15,1,0,0,0,1,105.10588913799572
21,20,8,9,2,0,1,1,1,101.60562166027766
39,20,2,15,4,0,0,1,1,120.31694713334724
27,26,6,22,0,1,0,1,1,118.5463986823432
34,27,3,13,0,0,1,0,1,115.70716937972858
22,25,5,21,2,0,0,0,0,107.0101695077888
20,22,8,19,2,0,1,0,0,103.98191734800416
46,29,8,14,3,0,0,0,0,125.78518464083407
12,21,8,23,0,0,1,0,1,106.74531047978924
32,22,3,18,1,0,1,1,0,107.58030883043514
33,24,6,11,2,0,0,0,0,108.742226588701
19,18,4,20,2,1,0,0,1,104.10862257712397
11,16,5,9,1,0,0,1,0,79.43504583732464
42,19,8,16,0,1,0,0,1,121.96314148264648
23,25,9,22,1,1,1,0,0,110.53219036197696
38,26,7,19,2,0,1,0,1,128.63625864068928
31,26,4,9,1,0,0,1,0,103.67585658082707
31,27,6,18,3,1,0,0,1,122.1062374262069
42,21,4,18,1,0,0,0,0,116.60326690074346
24,20,4,17,3,1,0,1,1,109.77628032507162
10,20,4,15,1,0,0,0,0,85.42243903249646
19,32,4,19,1,0,1,1,1,115.3259758284359
22,26,6,11,2,0,1,0,0,97.68531479721896
32,26,5,18,1,0,1,1,0,112.99830372389252
31,18,3,12,2,1,0,0,1,107.98294494787817
9,24,3,15,0,1,1,0,0,89.1792540464951
17,23,3,16,1,0,0,0,0,95.25513554488852
24,19,9,17,0,0,0,0,1,108.11912115231056
35,23,9,12,1,0,0,1,0,111.81322242368552
29,16,7,12,1,0,0,0,1,105.0023289889832
36,30,7,20,2,1,1,0,0,123.37515903599852
10,13,8,13,1,1,0,0,1,88.82742516838121
28,20,6,15,2,1,0,1,1,112.70115399824874
22,22,4,13,2,1,1,1,0,97.08597243513104
40,29,8,21,0,1,1,0,1,132.97999150989
22,24,5,14,1,0,1,1,0,100.34016979150806
23,22,8,24,1,0,0,1,1,116.08539146677452
23,31,7,18,2,1,0,0,0,109.32454543895987
28,24,7,12,3,0,0,0,0,102.99515048404984
14,21,4,24,0,0,0,0,1,108.28498499032666
31,23,2,17,0,0,1,1,1,116.1944393311097
22,25,4,19,1,1,0,0,1,110.93726892220896
15,25,8,16,1,0,0,1,0,99.40946150990926
19,27,7,17,2,0,0,1,1,111.04003679499462
24,23,6,10,1,1,0,0,0,97.12977556654312
31,18,7,10,2,0,1,1,0,101.7980699865868
9,24,8,19,1,0,0,1,0,94.66604036700268
27,24,4,12,2,1,0,0,1,110.10640290536494
24,23,7,14,1,1,1,0,0,102.21977304570004
23,19,2,13,2,0,0,0,0,93.58701382407888
14,24,3,14,2,0,0,0,0,91.9978543387436
2,17,7,14,1,0,0,0,1,84.63577219034589
8,31,6,17,2,0,0,0,0,95.99844266672488
35,29,4,19,0,1,0,1,1,125.45020644741494
29,24,9,16,2,1,1,1,1,119.71442333878213
-1,23,6,16,2,0,0,0,1,88.11206090535038
37,30,5,12,0,0,0,0,0,112.9068486913632
37,17,5,19,3,0,1,0,0,112.18609985047786
20,15,7,11,2,0,1,1,0,91.90018382032298
23,24,6,10,1,1,1,1,1,104.98480536752652
39,26,4,14,3,1,1,0,0,115.11735900730098
28,20,3,19,1,0,0,1,0,104.57203683030012
38,24,5,15,2,0,0,0,1,121.35137320573652
34,23,6,15,2,0,1,1,1,118.89224707411373
22,27,6,11,4,0,0,0,1,107.28482916833192
22,18,4,24,2,1,0,1,0,104.88789145666053
37,22,6,15,1,0,1,0,1,119.55889358069058
39,21,5,25,2,1,1,1,1,131.13318956771894
22,17,7,13,1,0,0,0,0,94.6187079583868
19,20,8,22,1,0,0,1,0,101.96161415641076
33,27,5,12,3,0,1,0,1,116.2966198404626
23,21,10,24,2,0,0,1,1,118.0763224272964
13,19,7,20,0,1,1,0,1,102.07885969032546
22,30,10,13,3,0,1,0,1,112.53472137247832
23,22,1,13,0,0,1,1,0,96.75677172019158
16,23,6,9,2,1,1,0,0,89.98781235956699
19,19,7,17,2,1,1,1,0,99.32643179067848
20,21,12,13,2,1,1,0,0,97.51414970113127
25,27,10,14,1,1,0,0,0,107.55531069728956
24,21,4,16,2,1,1,1,1,108.94350796575334
0,19,5,20,0,0,0,0,1,89.98596250396301
24,30,8,17,2,1,1,1,0,113.03507907020465
29,22,6,14,3,0,0,0,0,105.27645006604324
20,28,6,23,1,1,1,0,1,117.20202548578068
6,19,3,17,0,1,1,0,0,83.49705995272843
13,23,3,10,2,0,1,1,0,86.45195646226021
24,22,7,19,2,0,0,0,0,104.13198407816866
42,22,6,9,1,0,1,0,1,118.76089608167014
21,18,10,6,0,1,0,0,1,97.40918996033244
22,29,7,15,2,1,0,0,0,107.2592945930255
57,21,7,16,0,0,1,0,0,128.39243953984803
31,21,6,20,3,1,1,1,0,112.43426266688724
19,20,8,7,1,1,0,1,1,97.32390634481062
35,23,5,19,2,1,0,1,1,123.04375986078072
29,17,9,16,3,1,0,0,1,113.29007917725926
23,29,4,20,2,0,1,1,1,116.17718568262428
21,31,7,16,1,1,0,1,0,105.24965651088422
31,21,3,12,0,0,0,1,1,110.46117065517934
20,22,5,17,3,0,0,0,1,107.25774420770976
18,26,7,13,0,0,0,0,1,103.53587284771233
