student_age,parent_education_years,classroom_size,school_funding_per_student,distance_to_nearest_library,school_location,access_to_private_tutoring,school_type,enrollment_in_stem_program,final_math_score
25,21,8,21,3,0,0,1,1,97.37417448836533
23,19,3,15,2,1,0,0,1,93.54427551348456
15,25,2,8,4,1,0,0,1,86.59999239344327
24,24,8,17,3,0,1,1,0,86.74523072497156
30,26,6,19,2,1,1,1,1,98.91250436799146
28,25,9,13,2,0,0,0,1,94.47613146598182
22,25,4,15,1,1,1,0,0,85.0953000982193
40,23,9,13,3,1,1,0,0,91.8095469274054
37,22,9,14,1,0,0,1,1,96.402173258137
38,20,13,14,1,1,0,0,1,96.37083260429918
25,27,3,17,2,0,1,1,1,95.42568312942475
29,23,4,22,1,0,1,1,1,100.45246113045576
31,22,4,16,2,1,1,1,1,96.0368290569328
27,29,5,13,2,1,1,1,1,94.89189599811674
43,27,6,20,1,1,1,1,0,97.69611718930106
34,19,3,14,1,1,1,0,1,93.55889224127247
26,19,4,15,1,1,0,1,0,84.33346631216008
32,26,5,11,3,0,1,1,0,86.29281846823355
34,17,2,11,4,0,0,0,1,91.93421980475372
26,17,7,9,4,0,1,1,0,81.7143385256415
20,20,7,17,3,1,1,1,0,85.78515320791712
24,24,0,26,1,0,0,1,1,100.81618422580388
18,26,7,18,0,1,1,1,1,92.83907289444764
40,26,9,20,2,0,1,0,0,96.56090240015293
13,20,8,10,2,1,1,1,1,84.6331362339834
27,25,5,13,2,1,0,1,1,94.10340075714473
21,27,9,10,2,1,0,1,0,83.5402582967452
31,23,8,18,2,1,0,1,1,98.3657661436845
13,22,3,16,2,0,1,0,0,79.31918178042864
7,32,9,12,2,0,0,0,0,77.75087629535416
24,19,4,19,0,1,1,0,1,91.29170918152688
10,29,6,12,1,1,1,1,0,80.18317782961735
9,17,6,13,2,1,1,0,0,77.13850408521249
19,25,5,12,2,1,1,1,0,85.51486394317809
40,24,7,16,3,1,1,1,0,91.50569557842472
42,23,5,23,1,1,1,1,1,108.28294530960042
20,22,5,21,2,1,1,1,1,95.63357830494924
26,24,3,24,2,1,1,0,0,92.54601233151617
37,25,4,8,0,1,1,0,0,82.47694936970959
21,22,2,17,1,1,0,1,0,86.30520494409276
24,25,5,7,1,0,1,1,1,87.02973939809519
36,23,6,16,1,1,1,1,0,91.1566006695022
24,19,6,8,3,0,1,1,1,84.41715214578576
17,19,6,21,3,1,1,1,1,93.51334382206728
26,21,6,9,2,1,0,1,1,90.61457699914192
41,26,4,8,3,0,1,0,1,95.45001593541944
19,22,4,20,0,0,1,0,0,85.99089029255985
20,27,10,19,3,1,1,1,1,97.36148142358138
23,23,8,9,1,1,1,1,0,81.49452949544998
38,20,4,21,2,0,0,1,1,99.64602727816734
22,33,0,15,2,1,1,0,1,94.0187874962853
23,21,2,13,2,0,1,1,1,91.80860121412772
28,23,7,20,3,0,1,0,1,97.5269864023038
35,26,7,4,1,1,1,1,0,83.60108819287196
23,27,5,30,3,1,1,1,1,106.22558408456422
0,22,8,9,2,0,1,1,1,78.37753559010403
19,26,4,22,3,1,1,1,1,96.40940392448928
36,34,7,14,2,0,0,0,1,99.33845928269726
22,25,1,19,1,1,0,0,1,96.52407285354268
23,22,11,15,2,1,1,1,1,93.80378044190216
16,24,7,12,1,0,1,1,0,79.13483950633552
20,24,6,15,0,0,1,0,0,81.5536840611752
30,21,5,19,3,0,1,0,0,88.78701047954779
34,25,5,14,1,1,1,1,0,89.9137126154496
36,24,7,12,0,1,0,1,0,88.77385493892619
24,27,8,11,0,0,1,1,1,90.9763696884651
7,19,5,15,2,1,1,1,1,87.55778011352801
30,28,8,16,0,1,1,0,1,95.38870822721309
28,21,9,18,0,1,1,0,1,94.77298402271904
19,30,6,17,1,1,0,0,1,94.0430558596883
29,22,4,21,0,1,1,1,0,91.73952755783958
34,15,2,14,2,1,1,1,1,95.00589183619414
30,25,2,16,2,0,0,0,1,93.49254306707066
21,26,8,15,1,1,1,1,0,84.72282430810736
19,17,4,9,1,1,0,1,0,76.14231684274776
26,11,3,20,3,0,1,0,0,86.01198066164218
44,25,6,13,0,1,1,1,1,98.51793731393526
34,15,4,23,1,1,0,0,0,91.96504113050786
29,29,6,22,1,1,0,1,0,94.47724206242265
30,23,9,23,0,1,1,1,1,100.75235794844828
20,17,7,15,2,0,0,1,0,80.88910921131615
20,16,9,15,1,1,0,1,0,81.04743923873694
25,30,5,11,2,1,0,0,1,91.18541840724292
31,25,7,14,3,1,1,1,0,89.96481575592765
43,22,7,16,4,1,1,1,0,95.0821223563668
28,29,5,17,2,0,0,1,0,90.39618538002344
24,19,9,11,2,1,1,0,1,87.73500186744856
16,27,5,9,2,0,0,1,1,85.43848661863134
46,19,6,9,3,1,0,1,1,97.82442718452288
22,27,8,14,1,1,1,1,1,93.67615002302782
24,26,7,16,0,1,0,0,1,92.93166011490572
16,21,4,7,0,1,1,1,0,74.64999482698278
33,18,8,22,1,1,1,0,1,99.24763392808988
34,22,5,19,2,1,1,1,1,100.86672108652066
8,29,4,20,2,1,1,0,1,91.89081323344274
22,21,2,21,1,1,1,0,1,96.00316732356998
37,27,2,12,1,1,1,0,1,95.46894050296738
16,18,3,11,0,1,1,1,1,85.19519580913129
45,22,4,16,4,1,1,1,1,103.90724659847848
37,21,6,20,1,1,0,1,0,92.08386698553429
20,17,3,18,2,0,1,0,1,90.24493234935156
25,31,5,13,2,1,0,1,1,93.87158041195896
14,27,5,15,2,0,1,0,1,90.64572429200344
31,27,5,16,3,1,0,1,0,92.00454981267124
23,23,3,9,3,1,1,0,1,88.59906333899998
25,26,7,18,2,1,1,1,0,88.60869427426812
17,23,7,15,2,1,1,1,1,90.8180598217089
34,31,7,10,0,1,1,1,0,88.27188721613003
31,24,6,10,2,1,0,1,1,92.49031278506096
37,22,8,12,1,1,1,0,1,95.8145440501449
20,25,3,21,2,1,1,1,1,98.80354123097536
26,25,3,12,1,0,1,1,0,83.78946907487779
-3,25,9,10,1,1,1,0,0,71.66576545798411
22,21,4,18,2,1,1,0,0,85.8714360088059
37,21,7,19,3,1,0,0,1,102.50595693965052
22,26,7,10,3,1,1,0,0,81.64129352364787
36,18,6,15,1,1,1,0,1,95.83919589326352
-2,22,2,8,2,1,0,0,1,78.06443239783056
29,22,5,12,1,0,1,1,0,84.50746867625793
38,19,4,6,1,0,0,1,1,88.71294158189282
24,27,5,23,2,0,0,1,1,99.40152805036324
13,27,6,6,2,0,0,0,0,74.51335799587237
30,24,7,13,3,1,1,0,1,94.39392268142473
32,19,5,19,1,0,1,1,1,96.11584193349476
21,22,7,19,2,0,1,0,1,92.73172001661445
33,25,9,17,2,1,0,1,1,101.1252731986992
14,21,3,14,2,0,1,1,1,86.20832146047232
26,28,7,13,4,1,1,1,0,89.05468598935968
9,26,3,15,0,1,1,1,0,78.9232527225137
18,21,6,11,2,1,1,1,0,80.4662594327462
14,22,7,20,0,1,1,1,0,84.7268204141328
40,17,6,19,2,1,1,1,1,98.95165757422036
17,29,8,14,3,1,1,0,1,90.20365029989968
10,24,8,15,1,1,1,1,1,88.69564267560119
19,26,2,18,2,1,0,1,1,93.96184443875174
26,28,8,21,2,1,0,0,0,92.24721715611832
27,23,6,20,1,0,0,1,0,89.32670916786891
24,22,7,20,1,1,0,0,1,95.9177197689266
17,29,6,18,2,1,0,1,1,94.22143094865626
20,30,8,19,2,1,1,1,1,96.84117322583518
35,19,4,11,1,1,0,1,1,93.2524346805822
21,28,8,16,1,1,0,1,1,93.87043583761373
29,31,4,13,2,1,1,1,0,89.80909144569907
31,22,4,15,0,0,1,1,1,93.99632733866405
31,21,2,6,3,0,0,1,0,81.9103675247265
29,25,6,16,0,1,1,0,1,94.70512515770366
11,18,5,12,2,1,0,1,0,75.06990655222418
33,32,6,18,0,1,0,0,1,99.6815536533204
40,22,5,13,3,1,0,0,1,97.57015469836038
24,20,7,17,1,0,1,1,0,85.3920802817626
14,30,4,14,1,0,0,1,0,81.1498378831936
13,22,6,8,1,1,1,1,1,83.43603469504981
28,21,5,15,1,0,1,0,0,85.78896554109754
4,21,6,19,1,1,0,1,1,88.05959117256072
22,22,6,13,0,1,1,1,1,90.52159661811233
29,19,1,20,2,1,0,0,0,86.62477879718088
39,24,4,14,2,1,1,1,0,91.78242345071855
12,27,5,13,1,0,0,1,0,77.89324211412013
15,14,5,14,1,1,1,1,0,78.8514013172645
28,24,3,14,2,1,1,1,0,86.99647194687755
41,31,5,1,1,1,1,1,0,85.38107947167101
35,19,7,16,1,0,1,1,0,87.30134839437474
14,25,6,17,1,1,0,0,0,84.31577693787844
21,25,5,24,0,1,1,1,0,90.82062708101144
22,23,8,13,0,0,1,0,1,89.15081878868693
15,29,4,15,2,1,1,1,1,91.81778267906115
19,21,10,13,1,0,0,1,0,80.74769754983262
20,24,4,21,1,1,1,0,1,95.9273955525523
27,26,6,9,1,0,1,1,0,82.98429600219706
11,27,5,24,2,1,0,0,0,88.25874478805729
16,23,6,17,1,0,0,1,0,80.72145483212525
15,28,6,17,2,0,1,1,0,84.0855537147163
26,20,5,13,2,1,0,1,1,92.36534418709184
21,21,6,14,1,0,1,1,0,82.14646163643373
51,19,4,20,0,1,0,0,0,96.2450211229857
9,22,7,17,1,1,1,1,0,80.82219824475578
8,18,8,15,1,1,1,1,1,85.7243997776329
20,27,4,16,2,0,1,1,0,84.72853732709721
28,18,8,21,1,0,0,1,1,96.71022314166454
23,28,5,25,0,1,1,0,0,91.9062736311554
25,27,8,19,1,1,1,1,0,91.73861220949756
37,27,6,12,0,1,0,0,1,96.44110730093423
27,28,6,19,2,1,0,1,0,91.24373218897972
12,28,6,18,3,1,0,1,0,85.80995838644463
12,17,5,22,2,0,1,1,1,91.25047076241452
18,20,5,22,2,0,0,1,1,94.60042612045297
49,24,7,8,2,0,1,1,1,98.44723748987684
16,19,0,19,0,0,0,1,0,81.72196858442456
29,17,2,18,2,1,1,1,0,88.30780699673046
16,16,6,12,2,1,0,1,0,76.49530787133507
25,20,8,22,1,1,1,1,1,98.3354794702612
26,25,8,17,2,0,1,1,1,94.35080981339124
31,25,6,14,0,1,0,1,0,85.49593587581728
24,28,15,13,0,1,1,1,1,91.81615110149842
24,22,7,15,0,1,0,1,0,84.21057567127268
-2,26,3,16,2,1,1,0,0,78.00678251573618
33,23,6,19,1,1,1,1,1,99.04631351062412
32,11,6,21,0,1,1,0,0,87.50323291832042
33,24,3,18,2,0,1,1,0,90.61044077890205
17,29,3,14,2,0,1,0,0,83.07530822251007
17,25,5,17,1,1,1,0,0,83.87225764574085
15,20,6,26,2,1,1,1,1,97.20080155268408
29,20,6,12,3,0,1,1,0,85.52778004348409
24,22,9,14,1,1,1,1,0,84.67141316148482
23,24,5,14,1,1,1,1,1,92.65628756456726
34,27,5,14,1,1,1,1,1,96.49154328168684
3,20,3,18,3,1,1,1,0,79.5893338340246
13,13,5,20,2,1,1,0,1,89.96106432881298
30,20,5,21,2,1,0,1,1,99.1747409130912
22,23,6,15,2,1,0,1,0,84.35917411152232
13,23,4,15,1,1,1,0,1,89.32249961054578
14,23,6,16,3,1,0,1,1,90.86526884194268
12,27,9,10,2,1,1,1,1,84.7744310996354
33,27,9,12,0,1,1,0,1,93.68819288381567
20,27,6,23,2,1,1,0,1,98.8084114504366
28,22,5,19,3,1,1,1,0,88.8430733031738
45,29,2,14,3,0,0,1,0,96.27986819190352
35,27,7,16,0,1,0,1,1,99.05183121503056
25,21,7,17,1,0,1,0,0,84.31926678433608
30,26,9,10,2,1,0,0,1,93.58530464133888
30,21,4,11,4,1,0,0,0,84.09170103245847
25,17,3,15,1,0,1,1,1,89.95461441342941
41,24,3,18,0,1,1,0,0,95.08350530847208
36,24,7,14,0,1,1,0,1,95.50442612455228
27,23,3,16,2,0,0,0,1,94.43664934636068
38,26,0,14,0,1,1,1,0,88.4695499970648
15,24,5,16,0,1,0,1,1,90.32071278797268
3,26,9,9,1,0,0,1,1,80.77917417885881
34,20,8,12,1,1,1,0,1,91.3543051209461
32,24,7,16,3,1,1,1,0,93.28989940473303
28,26,2,11,2,1,0,1,0,85.5194416671925
3,25,6,12,1,0,1,1,1,82.61626034788863
55,22,6,17,1,1,0,1,0,97.60691875312752
29,21,6,18,1,1,1,0,1,96.52571022937828
38,24,9,22,1,1,0,1,1,103.06947280128888
33,19,5,9,1,1,0,0,0,82.69331504972389
9,25,5,13,0,1,1,0,0,77.95431713790973
30,23,1,22,1,1,0,1,1,97.8453782547649
33,18,5,8,1,0,1,1,1,89.51062531561797
14,20,2,10,2,1,1,0,1,83.0617722983508
31,27,10,14,1,1,0,1,0,87.19467620907264
34,24,5,17,1,0,1,1,0,90.54899216590108
29,25,4,8,1,1,1,0,1,90.4711658518759
35,23,4,12,1,1,0,0,0,86.5281657829163
25,25,10,19,1,1,1,0,1,98.019635625149
42,18,5,15,3,1,1,0,1,98.59953382292667
9,26,11,15,1,0,1,1,1,88.3035860890667
38,31,5,14,2,0,1,0,0,91.99275414681767
27,22,6,5,1,0,1,0,1,85.09201868088671
8,17,6,17,2,1,1,1,1,85.47706151453255
10,28,9,16,0,0,1,1,0,82.23124579414839
29,16,5,10,1,0,1,0,0,79.22312111562086
22,25,8,17,2,0,1,1,0,86.04950014872897
33,28,2,18,2,1,1,1,1,100.50069828168108
16,23,7,14,2,0,1,1,1,88.66627619284299
43,24,5,14,1,1,0,1,1,100.47177689101056
23,21,6,17,2,1,1,0,0,87.47855663996707
13,22,6,17,2,0,1,1,0,81.62013085480395
22,18,8,15,1,1,0,1,1,87.30537722337439
36,20,4,10,1,1,1,1,0,83.66013964058824
15,30,5,17,3,0,1,1,0,85.17372806630914
24,26,6,27,2,1,1,0,1,103.38304447049944
24,23,2,27,0,0,0,1,1,100.49043192195973
18,25,4,20,2,0,1,1,0,86.14631659015369
15,19,5,13,1,0,1,1,1,84.87816561978651
39,26,5,8,3,1,0,1,0,88.28170081121527
28,20,2,19,1,1,1,1,0,87.25436379887233
30,14,6,10,1,1,0,0,0,79.66620541518317
33,27,9,21,2,1,1,0,0,92.44598236217146
25,24,4,7,1,0,0,1,0,79.18130575231152
26,18,6,16,2,0,1,1,0,86.0478262952888
27,31,5,16,1,0,1,1,1,95.61456213298425
23,27,6,16,0,1,0,0,1,92.9365356378888
20,15,5,19,2,1,1,0,1,92.27540679923078
18,25,5,17,3,1,1,1,1,95.2017301798469
31,22,4,18,0,0,0,1,1,94.52526381869656
13,25,6,10,1,1,0,1,1,85.75177397752894
12,22,4,21,2,1,1,1,0,85.14663420275905
45,24,3,15,2,1,1,1,1,102.5532247648908
34,26,10,15,2,1,0,1,0,90.860813382146
33,28,6,15,1,0,1,1,1,97.50975350394468
25,26,2,15,2,0,1,1,0,86.81885656522384
4,23,8,16,1,1,0,1,1,85.50227676006503
20,35,0,15,0,1,0,1,0,86.52618781816993
25,22,2,9,1,1,0,0,0,78.91989792245698
37,28,2,14,2,1,1,0,1,98.29089936714652
23,23,9,17,2,0,1,0,1,93.74870509110175
20,25,5,16,2,1,0,1,0,86.7084329423525
30,24,6,17,1,1,1,0,1,96.01490974566887
14,29,5,13,2,1,1,1,0,81.29745054084995
14,25,7,14,3,0,1,0,1,87.39526335466564
42,23,2,12,1,1,1,1,1,98.85835596295834
22,29,4,15,2,1,1,0,1,94.41353329391252
18,25,5,13,2,0,1,1,1,88.58655004607937
20,27,7,22,1,1,1,1,0,89.92442935092801
16,20,7,10,0,0,1,1,1,83.86972404580352
32,20,3,12,2,1,0,1,0,85.93904188677703
18,28,3,11,1,0,1,0,1,89.4086569316381
27,20,5,23,2,1,0,1,0,91.02304395874306
31,25,5,20,3,0,1,1,1,100.78271054643054
18,22,12,17,0,0,1,1,0,84.75008758890245
33,29,4,15,2,1,0,1,1,98.15542854893212
25,12,10,13,1,1,1,1,1,88.35256084249795
36,16,6,16,1,1,1,0,0,88.75821121184268
35,25,5,24,1,1,0,0,0,96.659149545064
41,19,9,15,2,0,1,1,0,90.19061269656332
26,26,4,18,1,0,1,1,1,96.15279037917136
33,31,7,15,2,0,0,1,1,97.17544770784006
22,22,8,18,3,1,1,1,1,94.28569752071846
19,18,4,10,4,1,0,0,0,79.3540497039969
22,20,9,14,1,0,1,0,1,88.69460912279241
32,30,9,18,1,1,1,0,1,99.93792345635256
29,19,3,18,1,0,0,0,0,86.35753066098616
24,21,4,15,2,1,1,0,1,92.65928825030429
41,26,5,16,0,1,0,0,0,90.2272463513303
28,23,4,18,1,1,1,1,0,88.41429847188456
14,26,5,17,2,1,1,1,1,92.09908476918454
37,23,3,18,0,1,0,1,0,92.26621204743904
21,33,6,8,3,1,1,1,1,89.68027878748126
40,21,11,12,2,1,1,1,1,98.40113087993318
27,19,6,27,2,1,0,0,0,92.99379874705522
25,27,4,12,2,1,1,1,0,87.13521895340878
28,19,7,20,3,0,1,1,1,97.5356295859464
30,23,7,21,2,0,1,1,0,90.7610737415919
3,18,8,16,2,1,1,1,1,83.43892523613103
22,26,2,17,1,1,1,1,0,87.4510426951658
25,18,7,17,0,1,0,0,0,86.23807010812014
43,23,8,11,3,1,1,0,1,99.14446046322207
32,17,6,11,0,1,1,0,1,88.3045099200301
27,24,6,18,2,1,0,0,1,96.87611258875386
29,20,11,18,3,0,1,1,0,87.0430453493762
14,29,8,17,2,0,1,0,1,90.78741668810738
19,23,4,15,3,0,0,1,0,82.0376435160718
36,25,8,14,1,1,0,1,1,98.06600239182391
29,16,9,11,1,1,1,1,1,89.28594320716724
20,13,4,14,2,1,1,1,1,89.60903409253737
26,25,7,17,1,0,1,0,1,93.90782140270171
17,22,4,17,2,1,0,1,0,82.99714286221543
16,21,7,16,0,0,0,1,0,81.48225474444311
33,23,9,19,1,1,1,0,0,90.55297945292632
29,33,7,15,3,1,1,1,1,97.91878967776884
45,24,3,14,2,1,1,0,1,101.20875811250164
20,18,2,21,1,0,0,1,1,92.17151386175686
38,31,7,13,0,1,1,0,0,90.23268305986876
31,21,3,13,4,0,0,1,1,92.3678703267387
30,25,4,12,3,1,0,1,1,93.72121495004086
24,18,2,21,2,0,1,1,0,86.50378478433842
22,24,9,9,1,1,0,1,0,80.64523086318866
6,24,7,15,3,1,0,1,0,79.25590600119511
30,25,5,5,1,0,1,0,0,79.6564900798563
21,26,4,20,1,0,1,1,0,87.30529108701816
19,25,3,14,1,0,0,1,1,89.56285919883045
24,21,5,15,3,1,1,0,0,85.20480286980744
25,20,9,24,2,0,1,1,0,92.3568783260267
27,21,3,18,3,1,1,0,1,96.05758807457308
19,22,1,14,1,0,0,1,0,79.54764797687785
33,19,5,13,2,1,1,1,1,95.85632694369188
32,27,3,12,1,1,1,0,0,87.77176604526616
26,24,0,13,2,0,0,0,0,84.49922587019623
19,19,5,22,0,1,0,1,0,86.566032400615
17,27,0,17,1,0,1,1,1,90.91304705174048
27,23,2,15,2,0,0,1,1,93.11119787524387
44,22,8,18,1,0,0,1,1,102.8263847324573
23,27,9,17,2,0,1,1,0,87.78904992600937
13,26,7,14,0,1,0,1,0,81.87992365880102
17,18,4,13,3,1,1,1,1,87.97536712200252
41,20,7,22,1,0,1,0,0,95.54837760536294
32,20,2,22,1,0,0,1,1,98.2973118348406
40,23,5,14,0,1,1,1,0,92.1394134539759
18,25,7,10,2,1,0,1,1,88.48729787991401
23,18,4,10,0,0,1,1,1,87.05472513227468
29,25,6,20,1,0,0,1,1,97.69799477393988
13,19,5,12,3,1,1,1,1,83.92699475661756
7,17,8,14,1,1,1,1,1,83.85916772719902
28,26,3,22,2,1,1,1,0,95.39656419009484
29,25,7,10,1,1,1,1,1,92.50583174500132
22,31,2,14,0,1,1,1,1,91.98851983165176
13,29,10,8,3,0,1,0,1,85.00459281230815
27,20,6,11,3,1,0,1,1,91.49140567134408
27,20,4,4,2,0,0,1,1,85.04230889401083
24,18,3,16,0,1,0,1,1,92.44031848651248
19,22,4,11,2,1,1,0,1,88.29350332101431
54,28,2,22,4,1,1,1,0,105.74690543532554
-3,30,1,8,2,0,1,1,0,72.94632824390902
22,12,4,17,1,1,1,0,1,88.33642251481318
6,25,4,15,3,0,0,1,1,86.02120947781391
37,31,6,6,2,1,1,1,0,86.717445193619
38,31,0,13,0,0,1,1,1,97.44804194617618
45,19,4,7,2,1,0,1,1,93.80642803197102
22,28,3,18,2,0,1,0,1,96.3501695142104
4,26,5,19,1,1,1,0,0,81.0272630303443
33,18,4,24,3,1,0,0,1,99.2194975725984
13,22,5,12,0,1,1,1,1,84.96542319596269
35,29,5,16,0,0,1,0,1,96.82194008285238
24,31,4,9,1,1,0,1,0,82.10507513804964
35,26,3,17,0,0,0,0,0,90.61887063909352
16,16,3,17,1,0,0,0,0,81.52033153066776
30,25,4,13,3,0,1,1,1,96.56591872120052
19,15,7,22,1,1,1,1,0,85.2934421410768
27,26,2,16,1,1,1,1,0,89.46033359693021
21,22,5,13,0,1,1,0,0,80.95263675785925
45,25,6,19,1,1,0,1,1,103.79474798068648
6,17,5,16,2,1,1,1,1,85.65794717462856
31,28,7,12,1,1,0,1,1,93.79677049844544
8,29,7,22,2,1,0,1,0,87.19870634156743
24,27,5,20,0,1,1,1,1,96.04364367537698
22,15,2,8,2,1,1,1,0,77.47671999238766
22,24,7,13,2,1,1,0,1,90.40258955132477
32,26,6,16,2,1,1,1,0,91.58044458290394
27,21,8,17,2,1,0,0,0,86.09543742830932
24,27,5,12,1,0,1,1,1,90.37230422759568
23,27,5,11,3,0,1,1,0,83.6499374399724
23,23,5,20,1,0,0,0,0,85.33043441284428
28,22,6,18,1,1,1,0,0,89.10697591665927
13,22,6,4,1,0,1,1,1,79.55743321950038
18,22,3,15,2,1,1,1,0,83.33736109706976
27,32,3,25,1,1,1,1,0,97.10567114313922
28,19,8,27,2,1,1,1,1,102.02275228920858
31,27,6,9,0,1,1,0,0,85.31733777595306
28,26,6,16,1,0,1,1,1,95.8023890548478
19,25,1,16,1,1,1,1,1,91.92755605037846
18,22,6,16,3,0,1,0,1,90.41051404215207
37,23,4,13,1,1,0,1,1,95.1211051048264
24,20,6,18,3,0,1,1,1,93.53100078795892
2,21,8,12,1,1,1,0,0,72.83615454760316
30,22,5,20,2,1,1,0,1,99.129263451173
22,29,7,11,3,0,1,1,1,90.45989555104896
30,13,7,5,3,0,0,0,1,83.3184961255143
41,25,4,9,2,1,0,0,1,98.17755887379003
18,27,7,16,1,1,1,1,1,92.30332482069323
25,26,6,22,1,0,1,1,1,98.26109161486823
28,22,7,17,1,1,0,1,1,95.64223846686328
27,31,5,18,3,1,1,1,0,91.83125985007332
-2,25,3,17,2,1,1,1,1,84.81170416321311
33,21,9,18,2,0,0,1,0,89.90647042498586
37,24,6,12,2,1,1,1,0,90.18465316777176
13,35,8,16,1,1,0,0,1,91.8469177542899
33,25,6,12,2,1,0,1,0,86.8772596038499
14,33,4,18,4,1,1,0,0,90.16527510218576
18,16,7,11,2,0,1,1,0,77.16308245266488
19,17,4,17,3,1,1,1,1,90.42624317366383
35,23,4,15,2,1,1,0,0,90.1959668421898
19,31,5,16,0,0,1,1,1,91.98147056970454
24,25,6,10,2,0,0,1,0,81.08429170749754
12,24,6,21,1,1,0,1,0,85.7606317150721
22,21,5,17,1,1,0,1,1,91.3687232501524
16,23,5,19,1,0,1,1,1,90.55006374704992
28,27,7,21,1,1,1,1,1,101.29123676677428
4,27,0,21,1,0,1,1,1,88.869691244496
10,25,10,14,4,1,1,1,0,80.65319084978306
12,25,9,15,1,0,1,1,0,80.43529416733372
20,26,3,22,2,1,1,1,0,91.22461986511249
30,21,2,12,2,0,1,1,0,83.26823087073137
20,27,6,20,1,1,0,1,1,95.2806955191605
4,29,3,21,4,1,1,1,0,84.7671593720775
20,29,7,18,3,0,0,0,0,86.76401432383354
18,33,5,21,1,0,1,0,1,97.7308040059818
22,23,7,18,1,0,0,1,1,93.4175900712105
26,23,3,14,1,1,1,1,1,92.3539549886583
13,28,3,13,3,0,0,1,1,87.22192917499986
30,21,10,14,2,0,0,1,0,88.17025439975998
33,25,5,18,1,0,1,1,1,98.15702195293728
22,29,3,21,0,1,0,1,0,90.50092354371756
25,24,4,9,1,0,0,1,0,81.25627156527322
31,21,3,23,0,1,0,0,0,92.44676932629066
36,31,1,17,2,0,1,1,1,103.98280161814266
24,20,4,18,4,1,0,1,1,95.7409229077299
7,23,7,13,2,1,0,0,1,84.4114508813219
29,18,6,17,0,1,0,1,0,86.46864273926396
30,18,3,10,1,1,0,1,0,83.08923511791579
13,16,5,14,1,0,0,1,1,83.10925374831521
51,23,6,17,2,1,1,1,0,98.7910434834666
42,20,3,17,1,1,1,1,1,101.13528484111914
20,27,6,17,0,0,1,1,0,85.86871571319821
22,20,2,10,2,0,0,0,0,78.59419653272631
20,20,6,13,2,1,1,1,0,83.96618166863755
27,23,6,23,3,0,0,0,0,91.18235311194336
20,22,6,10,2,0,1,1,0,78.52937537358146
18,17,9,14,3,1,1,0,0,80.43330143866721
36,19,6,13,0,1,0,1,1,93.93711292807278
35,23,9,17,1,1,1,1,0,91.45009931585366
17,25,6,2,3,1,1,0,0,72.71573888222976
18,28,4,22,3,0,0,0,0,90.10855552882508
27,25,7,19,1,0,0,1,1,96.02492985227973
33,19,6,17,2,0,0,1,1,97.26821476144838
24,24,9,13,1,1,1,1,1,90.36464216993994
32,26,9,14,2,1,1,0,1,97.48677605343502
25,20,5,10,0,1,1,0,1,87.92325483509016
22,21,4,11,2,1,1,0,1,88.17636998340194
13,29,6,10,2,0,1,1,0,80.39506705969727
